school,email,country,notes
Banyan Montessori Academy,shiva@banyanmontessori.com,United States,"MI, Canton"
Montessori-Schule Oberschweinbach in Günzlhofen,schule@montessori-ffb.de,Germany,"Bayern, Günzlhofen"
North Eastern Montessori School,susan@northeastern.vic.edu.au,Australia,"VIC, St Helena"
Montessorischool Oudaen,administratie@montessorischooloudaen.nl,Netherlands,"Overijssel, Deventer"
"Scuola dell'infanzia ""Casa dei bambini"" plesso via dell'Acquasanta, dipende da IC Rossini",anic805008@istruzione.it,Italy,"AN, San Marcello"
Casa dei bambini Istituto Canonico Latorre Scuola dell'infanzia Cuore di Gesù (Statale),bree02200r@istruzione.it,Italy,"BR, Fasano"
Montessori-Gesamtschule Borken,gesamtschule@montessori-borken.de,Germany,Nordrhein-Westfalen
Ecole Montessori de La Possession - Les Pétrels,secretariatmpslapossession@gmail.com,France,"La Reunion (DOM), La Possession"
International Montessori Schools at West Chester,admin@miteducation.net,United States,"PA, West Chester"
École Montessori Bilingue de Cosne-Cours-sur-Loire,ecolemontessori.cosne@gmail.com,France,"Bourgogne-Franche-Comte, Cosne-Cours-Sur-Loire"
Discovery Children's House,dchouse@earthlink.net,United States,"CA, Palo Alto"
Prairieland Montessori,info@prairielandmontessori.com,United States,"IL, Chicago"
St. Johns Montessori,admin@stjohnsmontessori.co.nz,New Zealand,"Auckland (Central), Auckland,"
Montessori Early Years Learning and Care Centre (Dampier),dampier.montessori@yahoo.com,Australia,"WA, Dampier"
Félice - La petite école Montessori bilingue,felice.montessori@gmail.com,France,"Ile-de-France, Avon"
Casa dei bambini e Primaria (Statale),tree00400x@istruzione.it,Italy,"Terni, Terni"
"Micronido Montessori bilingue ""I Cuccioli"" (Privato)",contatti@asilonidocuccioli.com,Italy,"Varese, Sesto Calende"
Monarch Montessori School,yellow@internationalmontessorischools.com,United States,"MD, Churchville"
Coral Reef Montessori Academy Charter School,juking@dadeschools.net,United States,"FL, Miami"
Songbird Early Learning Centre,management@songbirdelc.com.au,Australia,"VIC, Briar Hill"
Greenbrier Montessori School,gmontessori99@gmail.com,United States,"VA, Chesapeake"
The Beeches and Willows Montessori,vickimathews1975@gmail.com,Ireland,"Meath, Donacarney"
Ahwatukee Foothills Montessori,afm@ahwatukeefoothillsmontessori.com,United States,"AZ, Phoenix"
Intiraymi Spanish Montessori Children's House,milagrosfg88@yahoo.com,United States,"IL, Riverside"
Racine Montessori School,lisatorano@racinemontessori.com,United States,"WI, Racine"
