school_name,country,email,notes,variant
Montessori-Grundschule Gilching,Germany,verwaltung@montessorischule-gilching.de,Montessori-Schulen 1-4,B
PEC Early Learning,Australia,pecearlylearning@gmail.com,Member listing (no MQAP tier),B
Montessori Hoog Dalem,Netherlands,montessori.hoogdalem@stichtingovo.nl,basisonderwijs,B
Scuola Primaria IC Viale Legnano (Statale),Italy,miic8fg00t@istruzione.it,statale,B
IC Pergine 2 C. Freinet (Statale),Italy,fir.freinet@scuole.provincia.tn.it,statale,B
Montessori-Schule Illertal,Germany,info@montessori-illertal.de,,B
Montessori-Schule Oettingen,Germany,info@montessori-oettingen.de,"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10",B
Harborlight Montessori,United States,eaglepeakmontessori@gmail.com,private,B
Montessori au Mont d'Or,France,contact@ecolemontessori.fr,"Dept 69 - Rhône; 7 avenue du 11 Novembre, 69250, Neuville-Sur-Saône",B
College View Elementary,United States,joseph_denoncourt@dpsk12.org,public; alt: l_castellanos-gaita@dpsk12.net,B
Oscar Mayer Magnet School,United States,kbneary@cps.edu,public,B
Marshwood Montessori School,New Zealand,marshwoodm@gmail.com,MANZ member listing,B
Ficino Montessori Preschool,New Zealand,fpsteacher8@ficino.school.nz,MANZ member listing,B
École Montessori Les Quatre Saisons,France,lesquatresaisonsmontessori@gmail.com,"Dept 85 - Vendée; 132 bis boulevard d'Angleterre, 85000, La Roche-Sur-Yon",B
Casa dei bambini Montessori di Via Livenza (Statale),Italy,rmic8bl001@istruzione.it,statale,B
"Nido, Casa dei bambini e Primaria ""Il Giardino di Archimede"" (Privata)",Italy,info@cooperativaarchimede.it,paritaria/privata,B
Marshall Primary School,United States,mconnors@asd2.org,public,B
Cherry Blossom Montessori School,United States,donnafiumara@cbmontessorischool.com,private,B
CINTA Family Day Care,Australia,cintafdc@yahoo.com.au,Member listing (no MQAP tier),B
Foothills Montessori School,United States,administration@foothillsmontessori.com,private; alt: information@foothillsmontessori.com,B
"Asilo Nido Montessori ""S. Lucia"" (Privata)",Italy,montessori.s.lucia@gmail.com,paritaria/privata,B
Harold Holliday Montessori School,United States,lmckenzie@kcpublicschools.org,public,B
Parkrose Montessori,United States,admin@parkrosemontessorischool.com,private,B
Casa dei bambini “Carducci” (Comunale),Italy,scuolainfanziacarducci@comune.bologna.it,,B
Montessori School of Purcellville,United States,info@purcellvillemontessori.com,private,B
