Country,School,Email,Region,City,Phone,Website,Source,Notes
Kenya,Brookside Montessori School,brookside@montessorihouse.sc.ke,Nairobi County,Nairobi,"0719786001, 0736372828",montessorihouse.sc.ke,tuko.co.ke directory,PRIOR_CONTACT
Kenya,Early Learning Academy (ELA),wecare@montessorihouse.sc.ke,Kiambu County,"Red Hill, Limuru","0704786001, 0727786001",montessorihouse.sc.ke,tuko.co.ke directory,PRIOR_CONTACT
Kenya,Brookside Preparatory School,prepschool@montessorihouse.ac.ke,Nairobi County,"Westlands, Nairobi","0777786001, 0736372828",montessorihouse.sc.ke,tuko.co.ke directory,PRIOR_CONTACT
Kenya,Montessori House Mountain View,mountainview@montessorihouse.sc.ke,Nairobi County,"Mountain View, Nairobi","0777786003, 0736372828",montessorihouse.sc.ke,tuko.co.ke directory,PRIOR_CONTACT
Kenya,Shadel Montessori Centre,info@shadelmontessoricentre.com,Nairobi County,"Garden Estate, Nairobi","0780364150, 0718005374",NOT_FOUND,tuko.co.ke directory,
Kenya,My School Montessori,myschoolmontessori@gmail.com,Nairobi County,"Peponi Rd, Starehe, Nairobi","0723700309, 0733791161, 0796111157",myschoolmontessori.co.ke,tuko.co.ke directory,PRIOR_CONTACT
Kenya,Royal Montessori School,hello@royalkindergarten.co.ke,Nairobi County,"Muthaiga, Nairobi",NOT_FOUND,NOT_FOUND,tuko.co.ke directory,
Kenya,"Appleton Kindergarten and Montessori School, Kilimani",kilimani@appletonschool.ac.ke,Nairobi County,"Kilimani, Nairobi","+254202124619, 0713696029",appletonschool.ac.ke,tuko.co.ke directory,PRIOR_CONTACT
Kenya,Appleton Kindergarten Montessori School Ngong,ngong@appletonschool.ac.ke,Kajiado County,Ngong,"+254202176941, 0706667337",appletonschool.ac.ke,tuko.co.ke directory,PRIOR_CONTACT
Kenya,Bambini Montessori School,info@bambini.sc.ke,Nairobi County,"Jabavu Road, Nairobi","+254706252909, +254704333393",bambini.sc.ke,tuko.co.ke directory,
Kenya,"Early Learning Montessori Centre, Lavington",info@elmclavington.com,Nairobi County,Lavington,+254737074274,elmclavington.com,tuko.co.ke directory,
