Country,School,Email,Region,City,Phone,Website,Source,Notes
Kenya,St. Scholastica School Kimumu,NOT_FOUND,Uasin Gishu County,Eldoret,+254 714460124,NOT_FOUND,reachthedodo.com directory,Christian (Benedictine sisters) kindergarten+primary blending CBC with Montessori approach; Cloudflare-protected link present but did not decode to a valid email
Kenya,Pinetrees Kindergarten,NOT_FOUND,Uasin Gishu County,Eldoret,+254 53-2063646,NOT_FOUND,reachthedodo.com directory,CBC curriculum school along Kisumu Road Eldoret; Montessori-adjacent listing only
Kenya,Little Einsteins Montessori Eldoret,NOT_FOUND,Uasin Gishu County,Eldoret,+254 796876071,NOT_FOUND,reachthedodo.com directory,Ages 2-6; competency-based curriculum + Montessori approach
Kenya,Acacia School Eldoret,NOT_FOUND,Uasin Gishu County,Eldoret,+254 721887200,NOT_FOUND,reachthedodo.com directory,Christian-based; Elgon View Estate; CBC + early-childhood approach
Kenya,Busy Bumbles Nursery School,NOT_FOUND,Uasin Gishu County,Eldoret,+254 700044307,NOT_FOUND,reachthedodo.com directory,Langas Eldoret; CBC + Montessori learning approach; ages 1-6
Kenya,Our Lady of Assumption Montessori Eldoret,NOT_FOUND,Uasin Gishu County,Eldoret,NOT_FOUND,NOT_FOUND,facebook.com/OurLadyOfAssumptionMontessoriEldoret,Catholic school; Mitaa Road Eldoret; ages 3-6
Kenya,BrightStar Montessori Academy,NOT_FOUND,Uasin Gishu County,Eldoret,+254 720769238,NOT_FOUND,reachthedodo.com directory,Kapsoya Estate Eldoret; combines CBC with Montessori learning approach
Kenya,Oaks Excellence Academy,admission@oaksacademy.co.ke,Uasin Gishu County,Eldoret,+254 723466408,oaksacademy.co.ke,reachthedodo.com directory,"Email decoded from Cloudflare email-protection hex; Christian ACE/IGCSE curriculum, Elgon View Drive; not pure Montessori but listed among Eldoret options"
Kenya,The Kenneth Academy,info@thekennethacademy.com,Uasin Gishu County,Eldoret,+254 0114607639,NOT_FOUND,reachthedodo.com directory,Email decoded from Cloudflare hex; Aviation Centre Teleview Kisumu Road Eldoret; daycare + kindergarten + primary
Kenya,Good Shepherd Montessori Nakuru,NOT_FOUND,Nakuru County,Nakuru,+254 721 872528,NOT_FOUND,tembeanakuru.co.ke,Upperhill Road Nakuru; CBC teaching methods; no email found (unrelated gsmontessori.org domain belongs to a Vancouver USA school)
Kenya,Kipepeo School,info@kipepeoschool.org,Nakuru County,Nakuru,+254 0740 000 111,NOT_FOUND,tembeanakuru.co.ke,Maragoli Avenue Milimani Nakuru; International Montessori School; ages 2-12 incl. toddlers 1-2.5yrs; est. 2014
Kenya,Crater Montessori Academy,admin@crateracademy.com,Nakuru County,Nakuru,+254 712560533,NOT_FOUND,tembeanakuru.co.ke,Milimani Estate Nakuru City; private Montessori primary day school
Kenya,St Ann Montessori Teachers Training College Nakuru,NOT_FOUND,Nakuru County,Nakuru,NOT_FOUND,NOT_FOUND,facebook.com/StAnnMontessoriTTCNakuru,"Owned by Catholic Diocese of Nakuru and Eldoret; trains preschool Montessori teachers (training college, not K-6 school)"
Kenya,Corner of Hope Montessori (New Canaan),NOT_FOUND,Nakuru County,Nakuru,NOT_FOUND,NOT_FOUND,montessori-ami.org / montessori-esf.org,DISADVANTAGED - serves Internally Displaced Persons (IDP) community since 2010; 170 children age 3-6 + 57 age 6-12; AMI/Montessori EsF/Global Growth Fund grant-supported
Kenya,Corner of Hope Montessori (Kisima),NOT_FOUND,Nakuru County,Nakuru (Kisima),NOT_FOUND,NOT_FOUND,montessori-ami.org,DISADVANTAGED - second Corner of Hope location opened at community request; serves 75 children; same IDP-camp NGO initiative
Kenya,Pebbles Academy Thika,NOT_FOUND,Kiambu County,Thika,+254 0704 529 077,pebblesacademy.co.ke,pebblesacademy.co.ke,"Off Kenyatta Highway past UTI Junction, Thika Town; started as Pebbles Preschool May 2015; call/WhatsApp only contact found"
Ethiopia,Giggles Early Child Development Center,dina@gigglesaddis.com,Addis Ababa,Addis Ababa,+251271894000,gigglesaddis.com,gigglesaddis.com,"Montessori-inspired nursery, ages 1-4, explicitly child-led/Montessori-inspired approach"
Ethiopia,A&E Pre-Kindergarten School,NOT_FOUND,Addis Ababa,Addis Ababa,NOT_FOUND,alfelf.wixsite.com/alfelf,alfelf.wixsite.com/alfelf,"Montessori and Reggio Emilia based pre-school; contact form/map only, no email"
Ethiopia,Little Heroes International Daycare,info@littleheroesethiopia.com,Addis Ababa,Addis Ababa (Kazanchis),"+251986333337, +251986333338",littleheroesethiopia.com,littleheroesethiopia.com,Blends Montessori and HighScope; staff hold Montessori certifications; ages 6mo-4yrs
Ethiopia,Cherry Montessori Kindergarten and Elementary School,NOT_FOUND,Tigray,Mekelle,+251344413954,NOT_FOUND,addisbiz.com business directory,Business-directory listing only; no website found
Ethiopia,Bahir Dar Academy (BDA),NOT_FOUND,Amhara,Bahir Dar,NOT_FOUND,bdaschool.net,bdaschool.net,K-12 school; applies Montessori principles at its kindergarten alongside national curriculum; founded 2001
Ethiopia,Blessed Gebremichael House Kindergarten,dcstmary@yahoo.com,Amhara,Bahir Dar,+251-11-155-16-13,NOT_FOUND,dcethiopia.wordpress.com,DISADVANTAGED - early learning for underprivileged families using Montessori method; run by Daughters of Charity of St. Vincent de Paul; email is general provincial house address
Ethiopia,Shishinda Catholic Montessori School,NOT_FOUND,Oromia,Shishinda (Vicariate of Jimma-Bunga),NOT_FOUND,NOT_FOUND,vincentiansethiopia.wordpress.com,DISADVANTAGED - rural Catholic mission Montessori kindergarten; only kindergarten in area; ~100 children walk in from outlying areas
