Country,School,Email,Region,City,Phone,Website,Source,Notes
Nigeria,Starfield Montessori School,admin@starfieldmontessorischool.com,Lagos State,Lekki,+234-817-674-2787,https://www.starfieldmontessorischool.com/,School website,Toddler-6th grade with French immersion; PRIOR_CONTACT
Nigeria,The Quiver School,info@thequiverschool.com,Lagos State,Surulere,NOT_FOUND,https://thequiverschool.com/,School website,Montessori/British EYFS/Nigerian blend
Nigeria,White Light Montessori School,info@whitelightmontessori.com,Lagos State,Lekki Phase 1,08145849610,https://www.whitelightmontessori.com/,School website,Infant/Toddler through Elementary
Nigeria,Glowfield International School,info@glowfieldschool.com,Lagos State,Lekki,+234 905 707 0000,https://www.glowfieldschool.com/,School website,Montessori-inspired international school
Nigeria,Trillium Court Montessori,NOT_FOUND,Lagos State,Surulere,NOT_FOUND,https://trilliumcourtmontessori.com/,School website,Contact form only - no email visible
Nigeria,Prime Montessori School,NOT_FOUND,Lagos State,Ojo,NOT_FOUND,https://pmsnigeria.com/,School website,30 years operating; no email visible on site
Nigeria,Oaks & Acorns Montessori School,admin@oaks-acornsmontessori.com,FCT,Gwarinpa Abuja,08096518000,https://oaks-acornsmontessori.com/,School website,Nienhuis materials; AMI-aligned training
Nigeria,Cornerstone Montessori Schools,cornerstonemontessorischools@gmail.com,FCT,Abuja,NOT_FOUND,https://cornerstonemontessori.com/,School website,20 years; Montessori-inspired primary+college
Nigeria,Bluebell Montessori International School,bluebellmontessorischools@gmail.com,Rivers State,Trans-Amadi Port Harcourt,0802 493 6796,https://bluebell.com.ng/,School website,Founded 2009; preschool through secondary
Nigeria,Oxbridge Montessori School,enquiries@oxbridgemontessori.com,Rivers State,GRA Port Harcourt,+234 706 120 9587,https://www.oxbridgemontessori.com/,School website,Montessori method school
Nigeria,Bereton Montessori,admin@beretonmontessori.com,Rivers State,Old GRA/Stadium Road Port Harcourt,+234 815 090 3454,https://beretonmontessori.com/,School website,Early Years EFS through Senior years; two campuses
Nigeria,Laurels Montessori School,NOT_FOUND,Rivers State,Port Harcourt,NOT_FOUND,https://laurelsmontessorischool.com/,School website,No email visible; ages 0-5 Montessori
Ghana,Startrite Montessori School,info@startrite.edu.gh,Greater Accra,Kasoa,+233 302 851005,https://www.startrite.edu.gh/,School website,3 months to 15 years; PRIOR_CONTACT
Ghana,Faith Montessori School,info@faithms.edu.gh,Greater Accra,Gbawe Accra,+233 30 233 1275,https://faithms.edu.gh/,School website,Founded 1988; has Advanced Montessori Training Centre onsite
Ghana,Springfield Royal Montessori School,info@springfieldroyalmontessori.com,Greater Accra,Medie,+233 268 493 138,https://www.springfieldroyalmontessori.com/,School website,Christian ethos; Ghanaian+British curriculum Montessori method; PRIOR_CONTACT
Ghana,Precious One Montessori Preschool,precious1msch@gmail.com,Greater Accra,Dzorwulu Accra,+233 25 646 4421,https://gh7373.com/edu/preciousone/,School website,Montessori/Traditional fusion; 3 months-5 years
Ghana,Hillview Montessori School,NOT_FOUND,Greater Accra,Accra,NOT_FOUND,https://hillviewschools.com/,School website,Founded 2004; no email visible on site
Ghana,Rising Sun Montessori School,NOT_FOUND,Greater Accra,New Bortianor/Dome/Lashibi Accra,NOT_FOUND,https://therisingsunschools.com/,School website,3 campuses; no email visible on site
Ghana,Bambino Montessori School,info@bambinomontessorigh.com,Greater Accra,New Achimota,030 396 4419,https://bambinomontessorigh.com/,School website,Converted to Montessori 2004; 25 years operating; creche through Junior High
Ghana,Gumyoko Primary School,gumyoko77@yahoo.com,Upper East Region,Gumyoko Bawku,NOT_FOUND,http://bernardgumah.blogspot.com/2014/08/montessori-education-in-gumyoko-primary.html,MTCNE blog/AMI network,"DISADVANTAGED - only public Montessori elementary school in Ghana; started 1995 under a baobab tree by farming community; German church-funded (Gertrude Brodbeck); rural Upper East, community of ~5000"
Ivory Coast,L'Envol Montessori,contact@lenvolmontessori.org,Abidjan,Riviera Bonoumin Abidjan,+225 01 02 45 39 47,https://lenvolmontessori.org/,School website,Bilingual FR/EN; French national curriculum transition from 2025
Ivory Coast,Ivory Montessori School,NOT_FOUND,Abidjan,Cocody-Danga Abidjan,+225 07 08 13 18 18,https://www.ivorymontessorischool.com/,School website,"First authentic AMI Montessori school in Abidjan, opened 2016; no email visible, contact form only"
Ivory Coast,Montessori Generation International School (MGIS),NOT_FOUND,Abidjan,Cocody Abidjan,NOT_FOUND,http://mgischool.com/en/,School website,"Bilingual FR/EN, partner of Athena International (France); contact via web form only"
Ivory Coast,La Coccinelle Montessori,NOT_FOUND,Abidjan,Boulevard Mitterrand Cocody Abidjan,+225 27 22 40 10 66,https://annuaireci.com/entreprises/ecole-maternelle-et-primaire-la-coccinelle-montessori-abidjan-cote-divoire/,Business directory,Creche+maternelle 12-60 months; no email listed
Senegal,Les Colibris Montessori,colibrismariste@gmail.com,Petite Cote,Nguerigne Bambara,+221 77 930 98 26,https://www.colibrismontessori.sn/,School website,Founded 2023; bilingual FR/EN; 18mo-12yrs plus college from 2026
Senegal,Institution Bilingue Montessori (IBM),NOT_FOUND,Dakar,Le Virage Dakar,NOT_FOUND,https://ibmontessori.com/en/home/,School website,Founded 2008; Montessori+Senegalese classical curriculum; no email visible on site
Senegal,Ecole Montessori bilingue de Dakar (Nio ko bokk),direction@ecolemontessori.sn,Dakar,Ngor-Almadies Dakar,+221 77 402 29 60,https://ecolemontessori.sn/,Web search result,Bilingual FR/EN kindergarten through elementary; PRIOR_CONTACT
Senegal,Rising Stars Academie,NOT_FOUND,Dakar,Keur Massar Dakar,78-832-4707,https://risingstarsacademie.com/,School website,Bilingual Montessori + Islamic values preschool; no email visible on site
Mali,Complexe Scolaire L'Excellence,Complexescolairelexcellence26@gmail.com,Bamako,Magnambougou Bamako,+223 76214222,https://www.complexescolairelexcellence.com/,School website,Montessori + Reggio Emilia methods; ages 2-5; bilingual FR/EN
Mali,Montessori Bamako International School (MBIS),NOT_FOUND,Bamako,Bamako,NOT_FOUND,https://www.facebook.com/people/Montessori-Bamako-International-School/61555865901125/,Web search result,Nursery through secondary; official mbischools.org domain appears compromised/hijacked (do not use) - Facebook page is the reliable source
Mauritius,Judy Montessori Primary School,admin@judymontessori.com,South Mauritius,Mare d'Albert,+230 58 10 88 26,https://judymontessori.com/,School website,Opened Jan 2023; Montessori Method + Mauritian curriculum
Mauritius,L'Ile Aux Enfants Montessori,NOT_FOUND,West Coast,Cascavelle Flic En Flac,+230 489 4028,https://laemontessori.com/,School website,Nursery + pre-school; no email visible - contact form only
Seychelles,The Children's House,admin@thechildrenshouse.sc,Mahe,Bel Air Victoria,+248 4 321 211,https://www.thechildrenshouse.sc/,Web search result,Operating since 1996; Preschool 2-6yrs + Lower/Upper Primary 6-12yrs
Seychelles,Montessori International School Seychelles,NOT_FOUND,Mahe,Pointe Conan Victoria,NOT_FOUND,https://www.facebook.com/montessoripreschoolseychelles/,Facebook page,"Ages 1-6; official mis-sey.com domain shows ""Coming Soon"" - no email found"
Ghana,Maria Montessori School,info@mmskumasi.com,Ashanti Region,Odeneho Kwadaso Kumasi,0277889923,https://www.mmskumasi.com/,School website,Founded 1989 by Mrs Grace Boaten; 35+ years; preschool through JHS; over 1000 children; PRIOR_CONTACT
Nigeria,Treasure House Montessori School,NOT_FOUND,FCT,Asokoro Abuja,NOT_FOUND,https://www.treasurehousemontessori.org/,Web search result,No content/email retrievable from official site
Madagascar,Ecole Vatosoa,centre.vatosoa@gmail.com,Atsinanana,Salazamay Tamatave,+261 34 74 190 90,https://www.ecolevatosoa.com/,School website,"DISADVANTAGED-adjacent - solidarity school (Ecole SOLIDAIRE), open since Sept 2018; majority-Montessori active pedagogy; supports early-childhood professionals + community workshops"
Madagascar,Edukely,NOT_FOUND,Analamanga,Antananarivo (Tananarive),NOT_FOUND,https://www.edukely.mg/,School website,Associative project founded 2013; Montessori+Freinet inspired; French-English bilingual; no email visible - contact form only
Madagascar,Ecole Montessori AKA (Akanin'ny Kilonga),contact@educationformadagascar.org,Analamanga,Antananarivo,NOT_FOUND,https://www.educationformadagascar.com/edu4mada-french-/projets-education/ecole-montessori-aka.html,NGO project page,DISADVANTAGED - project of Education for Madagascar (UK-registered charity 1167115); free education for children in need; low-income family priority; AMI-certified educator model
Nigeria,Arcadia Montessori School & Kids Club,director@arcadiaschoolng.com,Lagos State,Victoria Island,0809 067 5327,https://lagosmums.com/school-of-the-month-arcadia-montessori-school/,LagosMums feature article,"Founded 2016; EYFS+Montessori hybrid curriculum; note - arcadiamontessorischool.com is an unrelated California CA school, not this one"
Nigeria,Grande Oakbridge Montessori School,oakbridgeschools@gmail.com,Lagos State,Agungi Lekki,+2348022245765,https://grandeoakbridgeschools.com/,Web search result,Founded 2005 by Mrs Hannah Royeke Obalade; British+Nigerian curriculum blend; ages 3 months-10 years
Ghana,Western Montessori School,westernmontessori@yahoo.com,Greater Accra,Taifa-Burkina Road Accra,+233 24 220 5126,https://www.facebook.com/westernmontessorischool/,Web search/directory listing,Address near Haatso-Atomic Rd Accra; PRIOR_CONTACT
Nigeria,Mary Angels Montessori Schools,info@maryangelsschools.com,FCT,Kukwaba Abuja,09133333859,https://www.maryangelsschools.com/,Web search result,Established in Abuja/AMAC 2024; creche 3mo-18mo + preschool 18mo-5yrs
