Country,School,Email,Region,City,Phone,Website,Source,Notes
Australia,Canberra Montessori School,principal@cms.act.edu.au,ACT,Holder,02 6287 1962,http://www.canberramontessori.com,Montessori Australia directory,Montessori Registered tier: Registered
Australia,Eucalyptus Montessori,enrol@eucalyptusmontessori.com.au,ACT,Kambah,02 6231 6228,http://www.eucalyptusmontessori.com.au,Montessori Australia directory,Member listing (no MQAP tier)
Australia,Montessori Academy – Gungahlin,gungahlin@montessoriacademy.com.au,ACT,Gungahlin,1300 000 162,https://montessoriacademy.com.au,Montessori Australia directory,Member listing (no MQAP tier)
Australia,Yarralumla Montessori,paola.tonel@ed.act.edu.au,ACT,,0262 056 607,http://www.yarralumlaps.act.edu.au/montessori,Montessori Australia directory,Montessori Registered tier: Participating; EXPIRED listing
Australia,Armidale Montessori Pre-School & Long Daycare,director@armidalemontessori.nsw.edu.au,NSW,Armidale,02 6772 3628,https://www.armidalemontessori.nsw.edu.au,Montessori Australia directory,Member listing (no MQAP tier)
Australia,Australian Catholic University,ogc@acu.edu.au,NSW,Blacktown,1300 275 228,https://www.acu.edu.au/,Montessori Australia directory,Member listing (no MQAP tier)
Australia,Balgownie Preschool and Montessori Centre,NOT_FOUND,NSW,Balgownie,02 4283 2879,https://ballykindy.wixsite.com/mysite,Montessori Australia directory,Member listing (no MQAP tier); no email in directory
Australia,Bankstown Montessori Childcare,NOT_FOUND,NSW,Bankstown,02 9709 6336,http://bankstownmontessori.com.au,Montessori Australia directory,Member listing (no MQAP tier); no email in directory
Australia,Bankstown Montessori Preschool,montessoribankstown@bigpond.com,NSW,Georges Hall,02 9728 3379,https://www.bankstownmontessoripreschool.com.au,Montessori Australia directory,Montessori Registered tier: Applied; EXPIRED listing
Australia,Barrenjoey Montessori School,info@bms.nsw.edu.au,NSW,Avalon,02 9973 1422,https://www.barrenjoeymontessori.com.au,Montessori Australia directory,Member listing (no MQAP tier)
Australia,Beverly Hills Montessori Christian Long Day Care Centre,commit172@outlook.com,NSW,Beverly Hills,02 9533 2781,https://www.beverlyhillsmontessori.com.au,Montessori Australia directory,Member listing (no MQAP tier)
Australia,Blue Gum Montessori Preschool,admin@bluegum.org.au,NSW,Blackheath,02 4787 5075,https://www.bluegum.org.au,Montessori Australia directory,Member listing (no MQAP tier)
Australia,Bond Street Montessori Early Learning Centre,NOT_FOUND,NSW,Mosman,02 9960 4158,https://www.bondstmontessori.com.au,Montessori Australia directory,Member listing (no MQAP tier); no email in directory
Australia,Bright Stars Montessori Preschool (Hebersham),info@brightstars.net.au,NSW,Hebersham,02 9675 6466,https://www.brightstars.net.au,Montessori Australia directory,Member listing (no MQAP tier)
Australia,Bright Stars Montessori Preschool (Minchinbury),info@brightstars.net.au,NSW,Minchinbury,02 9677 1152,https://www.brightstars.net.au,Montessori Australia directory,Member listing (no MQAP tier)
