School,Email,Region,City,Phone,Website,Source,Notes
AIM Montessori Academy,user@domain.com.,Ontario,King Street Inglewood,(416)%20220-0451,http://www.aimmontessori.ca,Montessori Canada (CCMA) member directory,
Absorbent Years Childcare - Fairview Mall campus,imanthi86@gmail.com,Ontario,Fairview Mall Drive North York,(416)%20498-5556,,Montessori Canada (CCMA) member directory,
Absorbent Years Childcare - North York campus,imanthi86@gmail.com,Ontario,Bayview Avenue North York,(416)%20502-1769,,Montessori Canada (CCMA) member directory,
Agincourt Montessori School,agincourtmontessori@gmail.com,Ontario,Midland Avenue Scarborough,(416)%20291-0726,,Montessori Canada (CCMA) member directory,
Althorp Montessori School - St. Catherines campus,sally@althorpmontessorischool.com,Ontario,Wilholme Drive St. Catharines,(905)%20941-2771,,Montessori Canada (CCMA) member directory,
Althorp Montessori School - Thorold campus,sally@althorpmontessorischool.com,Ontario,Taylor Street Thorold,(905)%20227-1535,,Montessori Canada (CCMA) member directory,
Ancaster Montessori School,britalumis@gmail.com,Ontario,Wilson Street East Ancaster,(905)%20648-0173,,Montessori Canada (CCMA) member directory,
Applewood Rainbow Montessori School,info@applewoodrainbow.com,Ontario,Stavebank Road Mississauga,(905)%20274-2321,,Montessori Canada (CCMA) member directory,
Aspen Grove Montessori School,julie.gallagher@aspengrovems.com,Ontario,Aurora,(905)%20841-1888,,Montessori Canada (CCMA) member directory,
Atlantic Montessori School,info@atlanticmontessori.com,Nova Scotia,Bedford Hwy Halifax,(902)%20405-3966,,Montessori Canada (CCMA) member directory,
Aurora Montessori School,info@auroramontessori.com,Ontario,Industrial Parkway North Aurora,(905)%20841-0065,http://www.auroramontessori.com,Montessori Canada (CCMA) member directory,
Bannockburn Independent School,s.robinson@bannockburn.ca,Ontario,Bayview Avenue North York,(416)%20789-7855,,Montessori Canada (CCMA) member directory,
Barrie Montessori & Elementary School,admissionsbarrie@gmail.com,Ontario,Bayfield Street Barrie,(705)%20728-0303,http://www.barriemontessori.ca,Montessori Canada (CCMA) member directory,
Bee Montessori Niagara - Casa campus,NOT_FOUND,Ontario,Hagar Avenue Niagara Falls,(289)%20296-6119,http://www.beemontessori.ca,Montessori Canada (CCMA) member directory,junk email artifact removed; phone/site available
Bee Montessori Niagara - Main campus,NOT_FOUND,Ontario,Portage Road Niagara Falls,(905)%20371-2050,http://www.beemontessori.ca,Montessori Canada (CCMA) member directory,junk email artifact removed; phone/site available
Bishop Hamilton Montessori School,info@bhms.ca,Ontario,Regency Terrace Ottawa,(613)%20596-4013,,Montessori Canada (CCMA) member directory,
Blaisdale Montessori School,info@blaisdale.com,Ontario,Pickering,(905)%20509-5005,https://www.blaisdale.com,Montessori Canada (CCMA) member directory,
Blaisdale Montessori School - Annex campus,info@blaisdale.com,Ontario,Rougemount Drive Pickering,(905)%20509-9989,http://www.blaisdale.com,Montessori Canada (CCMA) member directory,
Blaisdale Montessori School - Bowmanville campus,info@blaisdale.com,Ontario,Rhonda Boulevard Bowmanville,(905)%20697-3064,http://www.blaisdale.com,Montessori Canada (CCMA) member directory,
Blaisdale Montessori School - Oshawa campus,info@blaisdale.com,Ontario,Simcoe Street North Oshawa,(905)%20721-1933,http://www.blaisdale.com,Montessori Canada (CCMA) member directory,
Blaisdale Montessori School - Rougemount campus,info@blaisdale.com,Ontario,Kingston Road Pickering,(905)%20509-4547,http://www.blaisdale.com,Montessori Canada (CCMA) member directory,
Blaisdale Montessori School - Village campus,info@blaisdale.com,Ontario,Old Kingston Road Ajax,(905)%20427-5006,http://www.blaisdale.com,Montessori Canada (CCMA) member directory,
