Country,School,Email,Region,City,Phone,Website,Source,FundingModel,Notes
Kenya,Corner of Hope Montessori (New Canaan & Kisima),info@montessori-esf.org,Rift Valley,Nakuru,NOT_FOUND,https://cornerofhope-esf.org/,EsF project list + childrenshouse.co.za partner page,EsF project,Flagship AMI/EsF IDP-camp initiative since 2010; 2 schools (~1500 children served); run with Montessori for Kenya (CEO Hillary Korir); email is EsF central contact shown on Corner of Hope page
South Africa,Ikhaya Labantwana Montessori,ilm@sustainablecoffeebay.org.za,Eastern Cape,"Jonga Village, Coffee Bay",+27 82 873 5206,https://sustainablecoffeebay.org.za/home/our-work/early-childhood-development/ikhaya-labantwana-montessori/,Sustainable Coffee Bay NPO site,donations/NGO,Rural Xhosa preschool run by Sustainable Coffee Bay (registered NPO/PBO); contact Gill; sponsor-funded places
South Africa,Ncinci One's Montessori,NOT_FOUND,Eastern Cape,"Nqileni Village, Hole in the Wall (Mncwasa)",NOT_FOUND,https://www.wildcoast.co.za/ncinci-ones-montessori,Wild Coast blog + SAMA + GlobalGiving,donations/NGO,NPO 209-659 / PBO 930067746; founder Dawn; sister project of Ikhaya Labantwana; funded via GlobalGiving + Kamvalethu Foundation + Stichting Obonto; contact via Facebook or GlobalGiving
South Africa,Zama Montessori Centre,zamamont@webmail.co.za,Gauteng,Benoni (Johannesburg),+27 83 403 8203,https://samontessori.org.za/zama-montessori-centre/,SAMA member listing + MGGF grant page,donations/NGO,Township-serving 3-12 school founded by Bukelwa Selema; nominal fees with many free places; orphans/child-headed homes; MGGF grant 2021
South Africa,Indaba Institute (CoRE South Africa),admin@indabainstitute.org,Western Cape,Stellenbosch / Somerset West,+27 21 881 3500,https://indabainstitute.org/,EsF CoRE SA project page + Indaba site,EsF project,AMI training centre NPC (NPO 250-902) running EsF Community Rooted Education in Kayamandi township; trains ECD practitioners for under-served communities; email decoded from site footer
Kenya,Footprints CBO Montessori Schools,NOT_FOUND,Samburu County,"Kalepo, Kalama, Losesia & Sera Conservancies",NOT_FOUND,https://www.montessori-mggf.org/current-outstanding-grants/footprints-cbo,MGGF current grants,donations/NGO,Community-based org building mobile early-childhood Montessori schools for nomadic pastoralist communities (65% illiteracy); MGGF funding 4 teacher trainings 2024
Kenya,Nomadic Samburu Montessori Schools (EsF),info@montessori-esf.org,Samburu / Namunyak Conservancy,Northern Kenya,NOT_FOUND,https://montessori-esf.org/project/samburu,EsF network project list,EsF project,Transferable Montessori schools piloted since 2018 for nomadic Samburu communities; contact via EsF central email
Tanzania,Olive Branch Montessori Academy (TOBFC),TOBFCmontessori@gmail.com,Mbeya Region,Chimala,+22543225592,https://www.theolivebranchforchildren.org/child-and-youth-care/montessori-academy,The Olive Branch for Children NGO site,donations/NGO,Established 2016 for children from vulnerable backgrounds; only school directly run by TOBFC; kindergarten + primary; phone as listed on site (possible typo — TZ code is +255)
Tanzania,St. Joseph Montessori School (Ndirima-Litembo),NOT_FOUND,Ruvuma Region,Ndirima-Litembo village near Songea,NOT_FOUND,https://www.vlalgf.org/initiatives/st-josephs-montessori-school,MGGF past grants + Vern Lal Global Foundation,donations/NGO,Rural farming community school (~60 children); community built the school; supported by Vern Lal Global Foundation + GoFundMe; MGGF grant 2022
Malawi,St. Joseph Montessori School (Likwakwanda),NOT_FOUND,Southern Region,"Likwakwanda, Thyolo District",NOT_FOUND,https://www.montessori-mggf.org/current-outstanding-grants/warm-heart-ministriesthe-st-joseph-montessori-school,MGGF grants list,donations/NGO,"Founded 2011; ~60 students aged 3-5; supported by Warm Heart Ministries (US 501c3 est. 2018, GuideStar EIN 83-2780143); part of St. Joseph's Centre with high school + vocational training"
Rwanda,AIMPO Community Montessori Preschool,NOT_FOUND,Kigali / Gasabo,Kigali (KG 184 St Kimironko),+250 784 669 764,https://aimpo.org/,MGGF past grants + AIMPO site,donations/NGO,Grassroots org (est. 2001) serving Batwa / Historically Marginalised People; runs community Montessori preschool; email obfuscated on site — use contact form; ED Richard Ntakirutimana
Eswatini,Lilima Montessori High School,lilimamontessori@gmail.com,Hhohho,Mbabane (Sibebe Resort Rd),+268 7605 5189,https://www.lilima.org/,MGGF grants + lilima.org contact page,donations/NGO,Non-profit Montessori high school (IB World School) funded partly by donations; MGGF grants 2023+2024; email decoded from site contact page
Madagascar,Sekoly Kintana (Trilingual Montessori School),NOT_FOUND,Anosy,Tôlagnaro (Taolagnaro),NOT_FOUND,https://sekolykintana.org/,MGGF current grants + GoFundMe,donations/NGO,Founded 2024 by Alison Rakotonirina; honors Malagasy identity; donation-funded (GoFundMe + MGGF); contact via site form
Côte d'Ivoire,Association Maria Montessori de Côte d'Ivoire (AMMCI),NOT_FOUND,Abidjan,Abidjan,NOT_FOUND,https://association-montessori-cotedivoire.com/,MGGF current grants + AMI affiliate list,donations/NGO,AMI-affiliated society; MGGF grant 2025 for Montessori furnishings/materials/teacher training for under-resourced classrooms
Ghana,Montessori Foundation Ghana,NOT_FOUND,Greater Accra,Accra,NOT_FOUND,https://montessorifoundationghana.org/,MGGF current grants,charity trust,Non-profit of Montessori practitioners supporting schools/guides/families; MGGF grant 2025; site fetch failed — email via site contact form
Haiti,Peter Hesse Foundation Montessori Preschools,p.hesse@solidarity.org,Multiple departments,Nationwide (~40+ preschools),+49 211 39 83 770,https://www.solidarity.org/en/our-montessori-projects/,EsF network + solidarity.org,EsF project / foundation-run,German foundation (Düsseldorf HQ) funding Montessori preschools + teacher training for Haiti's poorest since 1980s; also active Ivory Coast + Senegal; World Bank case study; contact is founder Peter Hesse
Guatemala,UPAVIM K-6 Montessori School,learnmore@upavim.org,Guatemala City,"La Esperanza, Zona 12",NOT_FOUND,https://www.upavim.org/montessori-school,EsF network + UPAVIM site,donations/NGO,Women's co-op school est. 2000 in marginalised La Esperanza settlement; ~150 children; funded by craft sales + donations (UCDF 501c3 raises US$50k/yr); MGGF grant 2024
Mexico,Horme — Red de Proyectos Sociales Montessori,NOT_FOUND,Nationwide network,Mexico City / Tepoztlán,NOT_FOUND,https://horme.com.mx/,EsF network project list,EsF project,"Network born of 2019 EsF Assembly connecting Montessori social projects across Mexico (vulnerable populations, indigenous communities, prisons); no email on site — contact form only"
Argentina,Fundación Argentina María Montessori (FAMM) — social programmes,marisa@fundacionmontessori.org,Buenos Aires,Buenos Aires,NOT_FOUND,https://www.fundacionmontessori.org/,EsF network + MGGF 2025 grant + prior Montree outreach thread,EsF project / foundation-run,AMI foundation + training centre running Montessori programmes in vulnerable contexts across Argentina/South America; existing warm Montree contact (Marisa Canova de Sioli); PRIOR_CONTACT overlap (domain/email in Montree_Master_Outreach) — verify to:DOMAIN in:sent before drafting
Dominican Republic,3 Mariposas Montessori,info@3mariposasmontessori.com,Puerto Plata,"La Ciénaga, Cabarete",+1 829 913 8439,https://3mariposasmontessori.com/,MGGF past grants + school site,donations/NGO,School in one of DR's poorest communities; sliding-scale/sponsored places; US 501c3 foundation (3 Mariposas Montessori Foundation Inc) fundraises
India,CoRE India / Montessori Training & Research Trust (MTRT),NOT_FOUND,Telangana / Andhra Pradesh,Hyderabad (Jeedimetla),+91 82972 63546,https://montessorihyderabad.org/,EsF CoRE India project page,EsF project,EsF Community Rooted Education: Montessori training for Aanganwadi (govt rural early-years) workers; 55 workers certified in Thullur; MTRT est. 1984
