"org_name","country","facebook_url","followers_estimate","social_strength","notes"
"AIMPO Community Montessori Preschool","Rwanda","https://www.facebook.com/mankindprogress.aimpo.3/","","3","Page belongs to parent org AIMPO (African Initiative for Mankind Progress Organization), which runs the Montessori preschool as a program; not a separately-branded school page. Rwandan grassroots org serving the Batwa people, ED Richard Ntakirutimana."
"CoRE India / Montessori Training & Research Trust (MTRT)","India","https://www.facebook.com/p/MTRT-AMI-Montessori-Training-Institute-Hyderabad-61562373118046/","","3","FB/IG confirmed for MTRT (AMI Montessori Training Institute Hyderabad, est. 1984), the training body associated with the CoRE India rural-education initiative. CoRE itself (Aanganwadi worker training) has no distinct social account found; likely reached via MTRT channels. IG has 857 followers, 130 posts."
"Crescent Islamic Montessori School (CIMS)","United States","https://www.facebook.com/Crescent-Islamic-Montessori-School-CIMS-530132203691706","1309 likes","6","active, ~1,309 likes | Beaverton, Oregon. Non-profit preschool, described as the only Islamic Montessori school in greater Portland metro area; matches disadvantaged/refugee-family profile from MGGF grant notes. Possible IG match 'Crescent Wonder Islamic Montessori Preschool' (instagram.com/crescent.wonder.preschool) is a name variant, NOT confirmed as same entity — excluded from instagram_url."
"Cypress Junction Montessori (CJM)","United States","https://www.facebook.com/MontessoriofWinterHaven/","","5","active — has Events tab, recent posts cross-posted by Winter Haven Chamber | Winter Haven, FL. Tuition-free public Montessori charter K-8 (corporate name Cypress Junction Montessori, Inc.), website cypressjunction.org. IG has 139 followers/119 posts with Reels. Best-documented profile in this batch."
"Fig Tree Montessori","United States","https://www.facebook.com/p/Fig-Tree-Montessori-61577162181701/","","5","appears active; page ID suggests created ~2025 | Margate, Florida. Income-based tuition elementary+primary Montessori; MGGF grant; 501(c)(3) EIN 88-0658082. Clear name+location match."
"Global Education Campaign / Dosti Foundation — purpose-built school with Montessori classroom","Pakistan","https://www.facebook.com/p/DOSTI-foundation-School-100071043978820/","","2","AMBIGUOUS — at least 2 distinct 'Dosti Foundation' entities exist (this Pakistan-based Global Education Campaign affiliate vs. an unrelated real-estate-branded 'Dosti Foundation School' chain in Thane, India). The FB page could not be confirmed as specifically the Pakistan entity. LinkedIn (pk.linkedin.com domain) is more confidently the correct Pakistan org given the .pk domain — higher trust there than the FB link."
"Harmony Montessori School","United States","","654 likes","0","established page, 654 likes, not obviously dead [GENERIC/JUNK FACEBOOK WIDGET LINK — not a real page, treat as no-FB] | Identified as Harmony Montessori School, Portland, OR — runs a 'Children's Fund' tuition-assistance program for BIPOC/immigrant/refugee low-income families, Preschool Promise partner, matching the disadvantaged-school profile. CAUTION: at least 3 other unrelated 'Harmony Montessori' schools exist elsewhere (Joplin MO, El Centro CA, 'Harmony Day Montessori') — confirm before outreach."
"Hilda Rothschild Foundation — EDUCAMBIO/Montessori Program","El Salvador","https://www.facebook.com/Educambio/","673 likes","4","low visible engagement in search snippets; sister/parent page (Hilda Rothschild Foundation, Scarsdale NY) has ~673 likes | NY-based foundation (Scarsdale NY) running the EDUCAMBIO Montessori program for ~250 children in San Salvador (Sagrado Corazón market + Mercado Central centers). Two possibly-duplicate FB URLs found (Educambio vs. a numeric 'hilda-rothschild-foundation' page) — needs manual click-through to confirm canonical page. Outreach likely goes through the Foundation, not a single school admin."
"Hill View Montessori Charter Public School","United States","https://www.facebook.com/HillViewMontessoriCharterPublicSchool/","1206 likes","7","active — ~1,206 likes, ~542 talking about this | Haverhill, MA. Tuition-free public Montessori charter, K-8. Facebook is clearly the most active channel. Website hillviewmontessori.org."
"Hilltop Montessori School","United States","https://www.facebook.com/hilltopmontessorischoolvt/","","2","AMBIGUOUS — at least 3 distinct 'Hilltop Montessori School' entities exist: Birmingham AL (instagram.com/hilltopmontessori, founded 1996, no isolated FB URL), Brattleboro VT (facebook.com/hilltopmontessorischoolvt AND facebook.com/Hilltop.Montessori.VT — likely old+new page, serves toddler-grade 8 since 1972), and Steubenville OH (facebook.com/hilltopmontessoristeub, AMI-affiliated). Listed the VT page as best guess but source list gave no city/state to confirm which one is the target — needs disambiguation before outreach."
