org_name,country,old_email,found_email,seen_where,facebook_url,notes
Fig Tree Montessori,United States,not_found,admin@figtreemontessori.org,"figtreemontessori.org (prior social-research pass, disadvantaged-facebook-B.csv)",https://www.facebook.com/p/Fig-Tree-Montessori-61577162181701/,"Incidental find, not yet applied to master CSV"
Foundation for Montessori Education in Nigeria (FMEN),Nigeria,not_found,info@fmen.org.ng,fmen.org.ng (prior social-research pass),,Also independently re-confirmed via WebSearch this session (AMI affiliated society page)
Hopitutuqaiki Language Immersion School,United States,not_found,hlis@hopitutuqaiki.com,hopitutuqaiki.com (prior social-research pass),https://www.facebook.com/p/Hopitutuqaiki-100083402467331/,"Note: master also lists sibling row ""Hopitutuqaiki — The Hopi School"" as a separate entity; same org family, same domain"
Hopscotch Montessori Kyiv (via Seeds for Ukraine),Ukraine,not_found,info@hopscotchmontessori.org,hopscotchmontessori.org (prior social-research pass),https://www.facebook.com/hopscotch.montessori.kyiv/,
Inkwell Montessori,United States,not_found,info@inkwellmontessori.org,inkwellmontessori.org (prior social-research pass),,"CAUTION: master row confirms this is the Cambridge, MA school. A same-named but UNRELATED ""Inkwell Montessori"" in Georgetown, ON, Canada also exists (facebook.com/inkwellmontessori, 224 likes) — do NOT attach that FB page to this row, wrong entity."
Isla Montessori School,Northern Mariana Islands (USA),not_found,info@islamontessori.org,islamontessori.org (prior social-research pass),https://www.facebook.com/islamontessori.org/,Northern Mariana Islands (USA)
Keila Montessori MTU,Estonia,not_found,montessorikeila@gmail.com,prior social-research pass,https://www.facebook.com/KeilaMontessori/,Estonia
Little Tree Community (A Wildflower Montessori School),United States,not_found,info@littletreecommunity.org,littletreecommunity.org (prior social-research pass),https://www.facebook.com/p/Little-Tree-Community-A-Wildflower-Montessori-School-61556915281928/,
Loo Kindergarten - Paasupesa Montessori Group,Estonia,not_found,loopesa@gmail.com,prior social-research pass,https://www.facebook.com/p/Loo-Lasteaed-P%C3%A4%C3%A4supesa-100057060415394/,Estonia
MTU Montessori Kiili vallas,Estonia,not_found,montessori.kiilis@gmail.com,prior social-research pass,https://www.facebook.com/p/MT%C3%9C-Montessori-Kiili-vallas-100090426780621/,Estonia
Montessori Head Start Program at Premier Academy Inc.,United States,not_found,info@premier-academy.org,premier-academy.org (prior social-research pass),https://www.facebook.com/PremierAcademyAtlantaGA,"Atlanta, GA — matches facebook.com/PremierAcademyAtlantaGA pulled from org site footer"
Northern Blooms Montessori,United States,not_found,hello@northernblooms.co,northernblooms.co (prior social-research pass),https://www.facebook.com/northernblooms.co/,
Salado Montessori Inc.,United States,not_found,office@saladomontessori.com,saladomontessori.com (prior social-research pass),https://www.facebook.com/SaladoMontessori/,Texas
Sekoly Kintana (Trilingual Montessori School),Madagascar,not_found,info@sekolykintana.org,sekolykintana.org (prior social-research pass),https://www.facebook.com/sekolykintana,Madagascar; FB link embedded on official homepage header
St. Croix Montessori School,United States Virgin Islands,not_found,info@stxmontessori.com,stxmontessori.com (prior social-research pass),https://www.facebook.com/StCroixMontessori/,US Virgin Islands
The Sundrop School,United States,not_found,info@sundropmontessori.com,sundropmontessori.com (prior social-research pass),https://www.facebook.com/sundropmontessori/,
AIMPO Community Montessori Preschool,Rwanda,not_found,info@aimpo.org,WebSearch snippet of aimpo.org contact info,https://www.facebook.com/mankindprogress.aimpo.3/,Rwanda; African Initiative for Mankind Progress Organization runs the Montessori preschool as a program
Horme — Red de Proyectos Sociales Montessori,Mexico,not_found,info@horme.com.mx,web_fetch of horme.com.mx/home (footer mailto),,"Mexico; network umbrella, not a single school"
CoRE India / Montessori Training & Research Trust (MTRT),India,not_found,info@montessorihyderabad.org,web_fetch of montessorihyderabad.org/about-mtrt (Contact Us block),https://www.facebook.com/p/MTRT-AMI-Montessori-Training-Institute-Hyderabad-61562373118046/,India; MTRT is the AMI training body associated with the CoRE India rural-education initiative
Shishur Sevay (Childlife Preserve) — inclusive Montessori home & free preschool,India,not_found,shishur.sevay@gmail.com,"WebSearch snippet, searchdonation.com NGO directory listing",https://www.facebook.com/ShishurSevay,India / Kolkata
Montessori Public Schools Thailand (EsF initiative),Thailand,not_found,info@montessori-esf.org,WebSearch snippet of montessori-esf.org contact info,NONE,"MODERATE CONFIDENCE — regional EsF central contact, same address already used for other EsF Kenya projects in this list (Corner of Hope, Nomadic Samburu, East Pokot); no Thailand-specific email surfaced"
Montessori del Mundo Charter School,United States,not_found,info@montessoridelmundo.org,WebSearch snippet + montessoridelmundo.org/contact,https://www.facebook.com/MontessoriDelMundo/,"Colorado, USA; phone matches existing master row (720-863-8629)"
