domain,status,affected_row_count
10emeidoorn.nl,live,1
12treeschool.com,live,1
14e-montessori.nl,live,1
1ngm.com,live,1
2emontessorischool.nl,live,1
2samen.nl,live,2
3mariposasmontessori.com,live,1
4seasonsmontessori.com,live,1
5mw.nl,live,1
7emontessori.nl,live,1
7freun.de,live,1
aandebasis.nl,live,1
aasd.k12.wi.us,live,1
abcspanishinmotion.com,live,2
abcstewart.com,live,1
abintra.org,live,1
aboutchildcare.net.au,live,1
absorbentmindsburpengary.com.au,live,1
abvmtech.org,live,1
ac-amiens.fr,live,1
ac-bordeaux.fr,live,1
ac-lille.fr,live,3
ac-montpellier.fr,live,1
ac-nantes.fr,live,1
ac-nice.fr,live,3
ac-normandie.fr,live,2
ac-orleans-tours.fr,live,1
ac-polynesie.pf,live,1
ac-versailles.fr,live,1
acaciamontessori.co.za,live,1
academie-de-montessori.org,live,1
achildsjourneyschool.com,live,1
acof.it,live,1
acornmontessori.com,live,2
acornschool.org,live,1
acountrygarden.com.au,live,2
acsd1.org,live,1
actonfallschurch.org,live,1
acu.edu.au,live,1
adelinemontessori.com,live,1
adobemontessori.com,live,1
agbms.org,live,1
ahwatukeefoothillsmontessori.com,live,1
aimmontessori.com,live,1
akiramontessori.com,live,1
aktion-regenbogen-bonn.de,live,1
aktion-sonnenschein-thueringen.de,live,2
aktionsonnenschein.de,live,3
aktive-naturschule.de,live,1
aktivschule-erfurt.de,live,1
aktivschule.de,live,1
alavida.org,live,1
albany.k12.ny.us,live,1
albrookschool.org,live,1
alcottschool.org,live,1
alcuin.org,live,1
aldenmontessori.com,live,1
aldineisd.org,live,2
alefbetmontessori.org,live,1
alegriamontessori.com,live,1
alexandermontessori.com,live,4
allente.nl,live,1
alliummontessori.org,live,1
alphabetkids.co.nz,live,1
alphabetsmontessori.com,live,1
alphamontessori.co.za,live,1
alphamontessoridfw.com,live,1
alphensemontessorischool.nl,live,1
alpinemontessori.org,live,1
alqamaracademy.in,live,1
altavistamontessori.com,live,1
althorpmontessorischool.com,live,2
alto.vic.edu.au,live,1
alyssummontessori.org,live,1
amaremontessori.org,live,2
amc.school.nz,live,1
amcharterschool.com,live,2
amcsmontessori.org,live,1
americanindianmontessorinet.onmicrosoft.com,live,1
americanmontessorischools.com,live,1
amerysd.k12.wi.us,live,2
amherstmontessori.org,live,1
ami-montessori.co.kr,live,1
amiga-montessori.com.au,live,16
amischool.com,live,1
anchoragemontessorischool.org,live,1
ancorakids.com.au,live,1
andovermontessori.org,live,1
angeletsdellum.com,live,1
anhmontessori.com,live,1
anna-schmidt-schule.de,live,2
annefrank-montessori.nl,live,1
anokamra.org,live,1
antiochcharteracademy.org,live,2
aol.com,live,42
apepina.it,live,1
aplacetogrowmontessori.com,live,1
applemontessorischools.com,live,6
appleseedmontessori.com,live,1
appletonschool.ac.ke,live,2
applewoodrainbow.com,live,1
apprentissages.net,live,1
apsva.us,live,6
aquila-montessori.co.za,live,1
arborescencemontessori.org.uk,live,1
arbormontessori.org,live,1
arborschools.com,live,1
arbrebleu-montessori.fr,live,1
arcadiaschoolng.com,live,1
archipelprimair.nl,live,1
arcor.de,live,1
ardtonahouseschool.ie,live,1
arlingtonmontessori.com,live,1
armandbayouschool.com,live,2
armidalemontessori.nsw.edu.au,live,1
asapdx.org,live,1
asaphila.org,live,1
asb-heilbronn.de,live,1
asd2.org,live,1
asdk12.org,live,1
ashreinueducation.org,live,1
asifchimelli.it,live,1
asilonidocuccioli.com,live,1
askoscholen.nl,live,1
aspengrovems.com,live,1
asquithmontessori.co.uk,dead,1
assisi-schule.de,live,1
astermontessori.com,live,1
astigmatic.com,live,1
asvo.nl,live,1
at-montessori.com,live,1
atalamontessori.org,live,1
athena.nsw.edu.au,live,2
athenamontessoriacademy.com,live,1
atlanticmontessori.com,live,1
att.net,live,6
attlebridgemontessori.co.uk,live,1
auburnhouse.co.za,live,1
auduboncharter.com,live,1
auduboncharter.org,live,2
auroradomus.it,live,1
auroramontessori.com,live,1
austinchildrensacademy.com,live,1
austinisd.org,live,1
austinmontessori.org,live,1
austrabt.com,live,1
avchildcare.com.au,live,2
awo-kinderwelt.de,live,2
awo-saalfeld.de,live,2
awo-shk.de,live,1
azaleamontessori.org,live,1
azma.academy,live,1
baandek.org,live,1
babyhomenursery.com,live,1
bademlermontessori.net,live,1
bahiamontessorischool.com,live,1
balahouse.org,live,1
baldwin.k12.ga.us,live,2
bambini.sc.ke,live,1
bambinimontessori.org,live,1
bambinomontessorigh.com,live,1
banksia.wa.edu.au,live,2
bannockburn.ca,live,1
banyanmontessori.com,live,1
barcelonamontessorischool.com,live,1
barnesmontessori.co.uk,live,1
barrenjoeymontessori.nsw.edu.au,dead,1
barriemontessori.cl,live,1
barron.k12.wi.us,live,1
basd.k12.wi.us,live,1
baseerahmontessori.co.za,live,1
baycityelc.com.au,live,1
baymontessori.com,live,1
bcmcs.com,live,1
bcmontessori.org,live,1
bcsd.net,live,1
bcsdschools.net,live,1
beachparkschool.org,live,1
beaconacademyil.org,live,1
beaconhousemontessori.com.au,live,1
beaufort.k12.sc.us,live,2
bedfordmontessori.org,live,1
beehive.wa.edu.au,live,1
beescirclemontessorischool.com,dead,1
bellamentecharter.org,live,1
bellavisionmontessori.com,live,1
bellevillemontessori.net,live,1
bellmontessori.com,live,2
bellsouth.net,live,5
beltwaymontessori.com,live,1
bendmontessorischool.com,live,1
berenacademy.org,live,1
beretonmontessori.com,live,1
bergamoschools.com,live,2
bergenlafayettemontessori.com,live,2
berhampore.school.nz,live,1
