School,Email,Region,City,Phone,Website,Source,Notes
Kindergarten im Altfeld,info@kindergarten-im-altfeld.de,Bayern,Zirndorf,0911-606044,http://www.kindergarten-im-altfeld.de,LV Bayern (montessoribayern.de),Kinderhaus
Inklusive Montessori-Grundschule Ansbach,schule@montessori-ansbach.de,Bayern,Ansbach,0981-18881592,http://www.montessori-ansbach.de,LV Bayern (montessoribayern.de),Montessori-Schulen 1-4
"Integratives Montessori-Kinderhaus ""Die Sterngucker"" Ansbach",kinderhaus@montessori-ansbach.de,Bayern,Ansbach,0981-46617144,http://www.montessori-ansbach.de,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Montessori-Schule Ansbach Sekundarstufe,sekundarstufe@montessori-ansbach.de,Bayern,Ansbach,0981-97239852,,LV Bayern (montessoribayern.de),Montessori-Schulen 1-9 / 1-10
Private Montessori-Schule Bamberg,grundschule@montessori-bamberg.de,Bayern,Bamberg,0951-2971427,http://www.montessori-bamberg.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Frieda Lang Haus für Kinder gGmbH,kiga@mekra.de,Bayern,Ergersheim,09847-9849189,http://www.friedalanghaus.de,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Kindergarten Zwergerlschule,info@ws-eg.de,Bayern,Amberg,09621-762380,https://www.ws-eg.de/,LV Bayern (montessoribayern.de),Kinderhaus
Ev. Montessori-Kinderhaus Weimersheim,kita.weimersheim@elkb.de,Bayern,Weißenburg,09141-71211,http://www.montessori-kiga.org,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Private Montessori-Schule Rothenburg o.d.T.,sekretariat@montessorirothenburg.de,Bayern,Rothenburg o.d.T.,09861-870463,https://www.montessorirothenburg.de/,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Schule Oettingen,info@montessori-oettingen.de,Bayern,- 9598888,,https://montessori-oettingen.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Kinderhaus Mühlenkinder - Netz für Kinder,kinderhaus@muehlenkinder.de,Bayern,Marktbreit,09332-5146,http://www.muehlenkinder.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori Mittelschule Kösching,schule@montessori-koesching.de,Bayern,Kösching,08456-916232,http://www.montessori-koesching.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Kinderkrippe Kösching,krippe@montessori-koesching.de,Bayern,Kösching,08456-919800,http://www-montessori-koesching.de,LV Bayern (montessoribayern.de),Krippe
Kinderhaus Maria Montessori,info-montessori-nd@t-online.de,Bayern,Neuburg / Donau,08431-42559,http://www.montessori-neuburg.de,LV Bayern (montessoribayern.de),Kinderhaus
Integrationskindergarten Hollerstauden,leitung.kiga-hollerstauden@pz-in.de,Bayern,Ingolstadt,0841-4913170,http://www.pizh.de/einrichtung/kindergarten-hollersatuden.html,LV Bayern (montessoribayern.de),Kinderhaus
Montessori-Gymnasium Ingolstadt,gymnasium@montessori-ingolstadt.de,Bayern,Ingolstadt,08414913-410,https://www.montessori-ingolstadt.de/gymnasium,LV Bayern (montessoribayern.de),Fachoberschulen und Gymnasium
Montessorischule Ingolstadt,schule@montessori-ingolstadt.de,Bayern,Ingolstadt,0841-4913-400,http://www.montessori-ingolstadt.de/,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Kinderkrippe Hollerstauden,leitung.krippe-hollerstauden@pizh.de,Bayern,Ingolstadt,0841-22056881,http://www.piz.de/einrichtung/kinderkrippe-hollerstauden.html,LV Bayern (montessoribayern.de),Krippe
Evangelisches Montessori Kinderhaus Nördlingen,montessori-kinderhaus@elkb.de,Bayern,Nördlingen,09081-2909468,http://www.montessori-noerdlingen.de/index.php/das-kinderhaus.html,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Montessori-Schule Mitwitz,sekretariat@montessori-mitwitz.de,Bayern,Mitwitz,09266-992523,http://www.montessori-mitwitz.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori Fachoberschule Kronach,info@fos-montessori-kronach.de,Bayern,- 60280,,http://www.fos-montessori-kronach.de,LV Bayern (montessoribayern.de),Fachoberschulen und Gymnasium
Montessori-Grundschule Schweinfurt,grundschule@montessori-schweinfurt.de,Bayern,Schweinfurt,09721-75993-22,http://www.montessori-schweinfurt.de,LV Bayern (montessoribayern.de),Montessori-Schulen 1-4
Montessori-Kinderhaus Schweinfurt,kinderhaus@montessori-schweinfurt.de,Bayern,Schweinfurt,09721-75976-0,http://www.montessori-schweinfurt.de,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Montessori-Mittelschule Schweinfurt,mittelschule@montessori-schweinfurt.de,Bayern,Schweinfurt,09721-75993-40,http://www.montessori-schweinfurt.de,LV Bayern (montessoribayern.de),Montessori-Schulen 1-9 / 1-10
Montessori Fachoberschule Schweinfurt,fos@montessori-schweinfurt.de,Bayern,Schweinfurt,09721-75993-20,https://www.montessori-schweinfurt.de,LV Bayern (montessoribayern.de),Fachoberschulen und Gymnasium
Montessori-Kinderhaus  - Integrativer Kindergarten mit Waldgruppe,kinderhaus@montessori-wuerzburg.de,Bayern,Würzburg,0931-451609,http://www.montessori-wuerzburg.de,LV Bayern (montessoribayern.de),Kinderhaus
Montessori-Hort Würzburg,hort@montessori-wuerzburg.de,Bayern,Zell,0931-329191-0,http://www.montessori-wuerzburg.de,LV Bayern (montessoribayern.de),weitere Montessori Angebote
Montessori-Schule Würzburg,sekretariat@montessori-wuerzburg.de,Bayern,Zell,0931-329191-0,http://www.montessori-wuerzburg.de,LV Bayern (montessoribayern.de),"Montessori-Schulen 1-4, Montessori-Schulen 1-9 / 1-10"
Montessori-Kinderkrippe,kinderkrippe@montessori-wuerzburg.de,Bayern,Zell a. Main,0931-4048780,http://www.montessori-wuerzburg.de,LV Bayern (montessoribayern.de),Krippe
Montessori-Kinderhaus St. Wolfgang,info@kinderhaus-marktleuthen.de,Bayern,Marktleuthen,09285-5399,http://www.kinderhaus-marktleuthen.de,LV Bayern (montessoribayern.de),"Kinderhaus, Kinderhaus mit Krippe, Krippe"
Montessori-Fachoberschule Würzburg,fos@montessori-wuerzburg.de,Bayern,Zell,0931-329191-0,http://www.montessori-wuerzburg.de,LV Bayern (montessoribayern.de),Fachoberschulen und Gymnasium
