School,Email,Region,City,Phone,Website,Source,Notes
Ace Montessori (Padmanabhanagar),acemontessoripad@gmail.com,Karnataka,Bangalore,+91-8971500589,NOT_FOUND,IMC Recognized School (indianmontessoricentre.org/imc-recognized-school),IMC-recognized MHOC; PRIOR_CONTACT overlap (domain/email in Montree_Master_Outreach) — verify to:DOMAIN in:sent before drafting
Aim Montessori,aimmontessori1@gmail.com,Karnataka,Bangalore,080-41463699,http://aimmontessori.in/,IMC Recognized School,IMC-recognized MHOC; PRIOR_CONTACT overlap (domain/email in Montree_Master_Outreach) — verify to:DOMAIN in:sent before drafting
Ankuraa's Montessori House of Children,info@ankuraamontessorischool.com,Karnataka,Bangalore,+91 9900087974,www.ankuraamontessorischool.com,IMC Recognized School,IMC-recognized MHOC; MX_DEAD (no MX record Jul 6 2026 — email will bounce); PRIOR_CONTACT overlap (domain/email in Montree_Master_Outreach) — verify to:DOMAIN in:sent before drafting
Anveshana Montessori House of Children,bharathi.anw@gmail.com,Karnataka,Bangalore,+91 99452 35225,NOT_FOUND,IMC Recognized School,IMC-recognized MHOC
Arunodoy Montessori House of Children,chinu1937@gmail.com,Karnataka,Bangalore,+91 80 25532400,NOT_FOUND,IMC Recognized School,IMC-recognized MHOC
Atreya Vidyaniketan,atreyavidyaniketan@yahoo.com,Karnataka,Bangalore,23190295,NOT_FOUND,IMC Recognized School,IMC-recognized MHOC
Bright Beginnings,bb_preschool@yahoo.com,Karnataka,Bangalore,+91-9900056790,www.bbpreschool.in,IMC Recognized School,IMC-recognized MHOC
Chimes Montessori,chimes_montessori@gmail.com,Karnataka,Bangalore,+91-9663355623,www.chimes.in,IMC Recognized School,IMC-recognized MHOC; PRIOR_CONTACT overlap (domain/email in Montree_Master_Outreach) — verify to:DOMAIN in:sent before drafting
Child-Care Montessori,info@child-caremontessori.com,Karnataka,Bangalore,+91 80 4095 7105,www.child-caremontessori.com,IMC Recognized School,IMC-recognized MHOC; PRIOR_CONTACT overlap (domain/email in Montree_Master_Outreach) — verify to:DOMAIN in:sent before drafting
Dew Drops Montessori,kunderravi@gmail.com,Karnataka,Bangalore,+91 99450 79603,NOT_FOUND,IMC Recognized School,IMC-recognized MHOC
Discover Montessori,directress@discover-montessori.org,Karnataka,Bangalore,+91-9880202060,www.discover-montessori.org,IMC Recognized School,IMC-recognized MHOC; PRIOR_CONTACT overlap (domain/email in Montree_Master_Outreach) — verify to:DOMAIN in:sent before drafting
Dishaa Montessori House of Children,dishaanewsletter@gmail.com,Karnataka,Bangalore,99169 11123,NOT_FOUND,IMC Recognized School,IMC-recognized MHOC
Divine Education Society,divinemangulajag@yahoo.co.in,Karnataka,Bangalore,23379188,NOT_FOUND,IMC Recognized School,IMC-recognized MHOC
Floretz Academy Pvt Ltd,floretz.deepa@gmail.com,Karnataka,Bangalore,9845694670,www.floretz.com,IMC Recognized School,IMC-recognized MHOC; PRIOR_CONTACT overlap (domain/email in Montree_Master_Outreach) — verify to:DOMAIN in:sent before drafting
Fleurdalis Montessori House of Children,fleurdelismontessorihouse@gmail.com,Karnataka,Bangalore,+91 9591998418,NOT_FOUND,IMC Recognized School,IMC-recognized MHOC
Growing Wonders,padmashree@growingwonders.org,Karnataka,Bangalore,7899138686,www.growingwonders.org,IMC Recognized School,IMC-recognized MHOC; PRIOR_CONTACT overlap (domain/email in Montree_Master_Outreach) — verify to:DOMAIN in:sent before drafting
Golden Arch Montessori House of Children,golden-arch@hotmail.com,Karnataka,Bangalore,98443 95503,NOT_FOUND,IMC Recognized School,IMC-recognized MHOC
Growing Wonders Montessori House of Children,kusumasudhindra@yahoo.co.in,Karnataka,Bangalore,7899163636,NOT_FOUND,IMC Recognized School,IMC-recognized MHOC
Gnana Montessori House of Children,gnanamontessori@gmail.com,Karnataka,Bangalore,9740488766,NOT_FOUND,IMC Recognized School,IMC-recognized MHOC
Head Start Montessori House of Children,info1@headstart.edu.in,Karnataka,Bangalore,25537025,NOT_FOUND,IMC Recognized School,IMC-recognized MHOC; PRIOR_CONTACT overlap (domain/email in Montree_Master_Outreach) — verify to:DOMAIN in:sent before drafting
Hymamshu Jyothi Kala Peetha,lalithavijayakumar@hymamshu.org,Karnataka,Bangalore,080 23367190,www.hymamshu.org,IMC Recognized School,IMC-recognized MHOC (IMC HQ location); PRIOR_CONTACT overlap (domain/email in Montree_Master_Outreach) — verify to:DOMAIN in:sent before drafting
