School,Email,Region,City,Phone,Website,Source,Notes
Ardtona House School,vheavey@ardtonahouseschool.ie,Dublin,Churchtown,01-2981192,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),ALREADY CONTACTED — dead lead per campaign log (hard no May 2026); do not re-email
BallyGroman Montessori School,ballycullen.delaford@gmail.com,Dublin,Ballycullen,087-2270556,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
BallyGroman Montessori School,ballygromandaycare@yahoo.co.uk,Cork,Ovens,021-7331225,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),Shared email across multiple listed schools — send once
Castlefield Montessori School,ballygromandaycare@yahoo.co.uk,Cork,Ovens,021-7331225,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),Shared email across multiple listed schools — send once
Caterpillar Montessori School,caterpillar.montessori@yahoo.co.uk,Wexford,Crossabeg,087-7667113,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Caterpillars Montessori,caterpillarsmontessori1@gmail.com,Cork,Crosshaven,087-2718107,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Cherry Blossom Grove Montessori,ballygromandaycare@yahoo.co.uk,Cork,Ovens,021-7331225,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),Shared email across multiple listed schools — send once
Chestnut Hill Montessori School,lynda@chestnuthill.ie,Westmeath,Athlone,087-6558379,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Chuckleberries Montessori & Creche,fiona.chuckleberries@gmail.com,Dublin,Ballycullen Road,0861218797,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Collooney Montessori School,collooneymontessori@gmail.com,Sligo,Collooney,087-6779419,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Dun Laoghaire Montessori School,dlmontessorischool@gmail.com,Dublin,Dun Laoghaire,086-8417731,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Drumcondra Montessori School,NOT_FOUND,Dublin,Drumcondra,086-8164462,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),No email shown on SMSI listing
East Cork Montessori School,katrineholland@gmail.com,Cork,Castlemartyr,087-2894036,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Early Learning Montessori & Afterschool Service,elmstradbally@gmail.com,Laois,Stradbally,087-7847898,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),Shared email across multiple listed schools — send once
Gateway Montessori School,elaine.lynch@gmail.com,Dublin,Ballsbridge,087-7539826,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Gilford Montessori School,ulla.c@me.com,Dublin,Sandymount,01-2604974,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Glenone Montessori Preparatory School,susieahernegray@hotmail.com,Dublin,Rathgar Village,087-6684797,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Greystones Montessori,lucy@greystonesmontessori.ie,Wicklow,Greystones,087-9639679,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Highfield Montessori School,oloughlin.damhnait@gmail.com,Dublin,Rathgar,087-6341626,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Magnolia Montessori,hollyparkmontessori@gmail.com,Dublin,Blackrock,086-4083232,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Kids Play Montessori & Afterschool,info@kidsplay.ie,Dublin,Rathfarnham,0868294151,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Kloyda Montessori School,kloydamontessori@gmail.com,Carlow,Bennekerry,086-7322436,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Lilliput Montessori,lilliputmontessori@gmail.com,Kilkenny,Johnswell Road,087-6205515,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Liskillea Montessori School,barrettjf@eircom.net,Cork,Waterfall,087-2333070,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Lilliput Montessori School,littlerascals111@yahoo.ie,Cork,Douglas,087-9688564,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Little Willows Montessori,mandykelly81@yahoo.ie,Cavan,Baileborough,042-9666679,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Lynn Montessori,lynnmontessori@gmail.com,Westmeath,Mullingar,087-6850251,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Magnolia Montessori,carolpmccabe@gmail.com,Dublin,Terenure,0868523553,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Mayfield Montessori,mayfieldmontessori8@gmail.com,Dublin,Kilmainham,086-1049253,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Meadows Montessori,meadowsmontessori8@gmail.com,Dublin,Drumcondra,086-0744303,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Millview Montessori School,anport78@yahoo.co.uk,Carlow,Kilbride,087-2939892,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Mischief Makers Montessori,info@mischiefmakersmontessori.ie,Dublin,Castleknock,0879769011,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Mulberry Montessori Pre-school,mellafinn@gmail.com,Cork,Mitchelstown,025-85823,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Naíonra Eiscir,fdcarr@hotmail.com,Dublin,Lucan,087-2919380,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),Shared email across multiple listed schools — send once
Naíonra na Seanscoile,fdcarr@hotmail.com,Dublin,Lucan,087-2919380,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),Shared email across multiple listed schools — send once
Play ‘N’ Learn,jaynegilpin@yahoo.co.uk,Louth,Drogheda,041-9846096,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Poppins Montessori,poppins2019@outlook.com,Dublin,Rathfarnham,086-8181115,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Rainbow Montessori,rainbowsutton@gmail.com,Dublin,Sutton,086-8070435,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Rainbow’s End Montessori School,taralogue73@hotmail.com,Limerick,Ballykeefe,086-3206863,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Smart Cookies Montessori School,smartcookiesdalkey@gmail.com,Dublin,Dalkey,087-9934240,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
St. Gerards Montessori School,louiseoreilly2006@gmail.com,Wicklow,Bray,086-8449998,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Strand Montessori,nicky@strandmontessori.ie,Dublin,Sandymount,083-3878065,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Sunflower Montessori,heronsarah@hotmail.com,Leitrim,Kinlough,087-6296485,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Sunny Days Montessori School,sunny_days_2009@hotmail.com,Cork,Frankfield,086-6866188,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
St. Nicholas Montessori School Dun Laoghaire,mary.farrelly@smsi.ie,Dublin,Dun Laoghaire,01-2806064,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),Shared email across multiple listed schools — send once
St. Nicholas Montessori School Merrion,mary.farrelly@smsi.ie,Dublin,Merrion Road,01-2601517,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),Shared email across multiple listed schools — send once
The Beeches and Willows Montessori,vickimathews1975@gmail.com,Meath,Donacarney,0868231619,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
The Caterpillar Academy of Montessori,caterpillaracademy@yahoo.com,Meath,Oldcastle,086-3151763,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),Shared email across multiple listed schools — send once
The Cottage Montessori School,thecottagemontessori@gmail.com,Dublin,Howth,087-2867219,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),Shared email across multiple listed schools — send once
The Children’s House Montessori School,ganleyaudrey@gmail.com,Waterford,22 Catherine Street,0866016987,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
The Childrens House Montessori School,toniflanagan7@gmail.com,Dublin,Firhouse,087-2251016,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
The Maples Montessori,caterpillaracademy@yahoo.com,Louth,Drogheda,086-3151763,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),Shared email across multiple listed schools — send once
Tir Na nOg Montessori,thecottagemontessori@gmail.com,Dublin,Howth,087-2867219,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),Shared email across multiple listed schools — send once
Tir Na nOg Montessori,tirnanogmontessorischool@gmail.com,Limerick,Pallasgreen,085-7130036,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
The Childrens House Montessori School,wiselittleowls@outlook.ie,Dublin,Stillorgan,085-7245102,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),
Early Learning Montessori,elmstradbally@gmail.com,Laois,Portlaoise,057-8641383,,SMSI school list (smsi.ie/montessori-early-years-and-primary-schools/),Shared email across multiple listed schools — send once
St. Nicholas Montessori School Newtownpark,info.school@smsi.ie,Dublin,Blackrock (Newtownpark Ave),,https://smsi.ie/schools/newtownpark/,SMSI own schools (smsi.ie),Third SMSI society school; email from school page
Hedley Park Montessori School,hedleypark67@gmail.com,Dublin,Dublin 2 (Merrion Square),+353 1 661 2388,https://hedleyparkmontessorischool.com,Web search → own site,Email from own site
Ivy Lane Montessori,info@ivylane.ie,Dublin,Dublin 2 (Fitzwilliam St),+353 87 450 6088,https://www.ivylane.ie,Web search → own site,Email from own site
The Nest Creche and Montessori Schools,enquiries@nestcare.ie,Dublin,Santry (Dublin 9),+353 86 776 6608,https://nestcare.ie,Web search → own site,Running since 1970; email from own site
The Lodge Montessori Preschool,NOT_FOUND,Dublin,Knocklyon (Dublin 16),+353 86 822 3062,https://thelodgemontessori.ie,Web search → own site,No email published (phone 2-4pm Mon-Fri)
The Children's House Montessori Primary School,info@childrenshouseschool.ie,Dublin,Stillorgan,,https://childrenshouseprimary.ie,Web search → own site,AMI Montessori primary; email from own site
Horizons Montessori,NOT_FOUND,Dublin,Templeogue & Terenure,,https://horizonsmontessori.ie,Web search → own site,Contact form only — no email published
The Little School (Montessori),hello@thelittleschool.ie,Dublin,Dublin,,https://www.thelittleschool.ie,Web search → own site,Multiple Montessori centres; email from own site
