School,Email,Region,City,Phone,Website,Source,Notes
"Nido (Privato) e Casa dei bambini ""Fondazione Pirani Cremona"" (Paritaria)",segreteria@fondazionepiranicremona.it,Vicenza,Bassano del Grappa,0424522415,https://www.fondazionepiranicremona.org,Opera Nazionale Montessori - Trova Scuola registry,paritaria/privata
Scuola primaria Plesso di Monterotondo (Statale),segreteria@icpassirano.edu.it,Brescia,Monterotondo fraz. di Passirano,030 653129,https://icpassirano.edu.it/,Opera Nazionale Montessori - Trova Scuola registry,statale
Api Operose Spazio gioco (Privato),nidoleapioperose@gmail.com,RM,Roma,3276756968,https://www.leapioperose.com,Opera Nazionale Montessori - Trova Scuola registry,paritaria/privata
"Asilo D'Infanzia ""Guarini-Lubelli"" (privato)",asiloguarinilubelli@virgilio.it,Lecce,Botrugno,3290297333,,Opera Nazionale Montessori - Trova Scuola registry,paritaria/privata
Asilo infantile del centro - Fondazione scuole dell'infanzia paritarie Enti Morali,segreteriafondazione.emg@gmail.com,Brescia,Gussago,0302773761,https://www.asiligussago.it,Opera Nazionale Montessori - Trova Scuola registry,paritaria/privata
"Asilo nido ""La Magnolia"" (Privata)",info@nidomagnolia.it,Milano,Milano,0248750145,https://www.nidomagnolia.it/wp-magnolia/,Opera Nazionale Montessori - Trova Scuola registry,paritaria/privata
"Asilo nido ""Sintonia"" (privato)",nido@centrosintonia.it,Ascoli Piceno,Ascoli Piceno,0736498636,https://www.centrosintonia.it/,Opera Nazionale Montessori - Trova Scuola registry,paritaria/privata
"Asilo Nido ""Terraluna"" (Privata)",NOT_FOUND,Monza e Brianza,Usmate Velate,393 870 5031,,Opera Nazionale Montessori - Trova Scuola registry,paritaria/privata
"Asilo Nido ""Terraluna"" (Privata)",NOT_FOUND,Monza e Brianza,Monza,377 027 2818,,Opera Nazionale Montessori - Trova Scuola registry,paritaria/privata
"Asilo nido Arcobaleno ""Renilde Stoppani Montessori"" (Comunale)",NOT_FOUND,Ancona,Monte San Vito,071948973,,Opera Nazionale Montessori - Trova Scuola registry,
