School,Email,Region,City,Phone,Website,Source,Notes
Montessorischool Borger,montessoriborger@opoborger-odoorn.nl,Drenthe,Borger,0599 859012,https://www.montessoriborger.nl/,NMV directory,basisonderwijs
Montessorischool Het Element,directie.element@catent.nl,Drenthe,Hoogeveen,0528 220300,https://montessorischoolhetelement.nl/,NMV directory,basisonderwijs
Montessori Campus 0-18,secretariaat@mlf.asg.nl,Flevoland,Almere,036 5492260,https://montessorilyceumflevoland.nl/,NMV directory,kindcentrum (opvang + basisonderwijs)
Montessorischool Stad,administratie@montessoristad.asg.nl,Flevoland,Almere,036 5376591,https://montessoristad.asg.nl/,NMV directory,basisonderwijs
Montessorischool De Plotter,directie@deplotter.com,Friesland,Drachten,0512 526066,https://www.deplotter.com/,NMV directory,basisonderwijs
Montessori Kindcentrum Leeuwarden,directie.montessori@proloog.nl,Friesland,Leeuwarden,058 2665758,https://www.ikc-montessori.nl/,NMV directory,kindcentrum (opvang + basisonderwijs)
Montessoripeutergroep Leeuwarden,directie.montessori@proloog.nl,Friesland,Leeuwarden,058 2665758,https://www.ikc-montessori.nl/Peutergroep,NMV directory,kinderopvang
"osg Piter Jelles, locatie Montessori High School",montessorihighschool@pj.nl,Friesland,Leeuwarden,058 8801300,https://www.piterjelles.nl/montessorihighschool/,NMV directory,voortgezet onderwijs
MAM's kinderopvang,montessori@mamskinderopvang.nl,Gelderland,Apeldoorn,055 3606234,https://www.mamskinderopvang.nl/vestiging/montessori-centrum/,NMV directory,kinderopvang
Montessorischool Passe Partout,passepartout@pcboapeldoorn.nl,Gelderland,Apeldoorn,055 3555352,https://passepartout.pcboapeldoorn.nl/,NMV directory,basisonderwijs
PC Montessorischool Passe Partout Locatie Kerschot,passepartout.kerschoten@pcboapeldoorn.nl,Gelderland,Apeldoorn,055 5218071,https://passepartout.pcboapeldoorn.nl/locatie-boerhaavestraat/,NMV directory,basisonderwijs
Arnhemse Montessorischool,atty.vanenk@floresonderwijs.nl,Gelderland,Arnhem,026 4427025,https://www.arnhemsemontessorischool.nl/,NMV directory,basisonderwijs
Montessori College Arnhem,montessori@montessoriarnhem.nl,Gelderland,Arnhem,026 3209830,https://montessoricollegearnhem.nl/,NMV directory,voortgezet onderwijs
