"school_name","country","facebook_url","fb_activity","instagram_url","linkedin_url","x_url","email_found_incidentally","confidence","notes"
"AIMPO Community Montessori Preschool","Rwanda","https://www.facebook.com/mankindprogress.aimpo","","https://www.instagram.com/aimpo","","","","medium","Page belongs to parent org AIMPO (African Initiative for Mankind Progress Organization), which runs the Montessori preschool as a program; not a separately-branded school page. Rwandan grassroots org serving the Batwa people, ED Richard Ntakirutimana."
"ANIFU — Santa Catarina Pinula Montessori (Orphan Outreach)","Guatemala","","","","","","","low","No dedicated ANIFU Facebook page found. AMBIGUOUS: a similarly-named but UNRELATED private school 'Colegio Internacional Montessori' (facebook.com/montessori.gt) exists in the same town — do NOT use, it is a different, established private school, not ANIFU's low-income municipal program. Contact best via orphanoutreach.org."
"Association Maria Montessori de Côte d'Ivoire (AMMCI)","Côte d'Ivoire","","","","","","","low","No confirmed FB/social page found via web search. Only AMI-certified Montessori training center in Cote d'Ivoire, HQ Abidjan Cocody, inside 'Ivory Montessori School'. Website association-montessori-cotedivoire.com has a 'Devenir membre' page but no email surfaced. Recommend direct in-platform FB search for 'Ivory Montessori School' as next step."
"CoRE India / Montessori Training & Research Trust (MTRT)","India","https://www.facebook.com/p/MTRT-AMI-Montessori-Training-Institute-Hyderabad-61562373118046/","","https://www.instagram.com/mtrt_ami_hyd/","","","","medium","FB/IG confirmed for MTRT (AMI Montessori Training Institute Hyderabad, est. 1984), the training body associated with the CoRE India rural-education initiative. CoRE itself (Aanganwadi worker training) has no distinct social account found; likely reached via MTRT channels. IG has 857 followers, 130 posts."
"Crescent Islamic Montessori School (CIMS)","United States","https://www.facebook.com/Crescent-Islamic-Montessori-School-CIMS-530132203691706","active, ~1,309 likes","","","","","high","Beaverton, Oregon. Non-profit preschool, described as the only Islamic Montessori school in greater Portland metro area; matches disadvantaged/refugee-family profile from MGGF grant notes. Possible IG match 'Crescent Wonder Islamic Montessori Preschool' (instagram.com/crescent.wonder.preschool) is a name variant, NOT confirmed as same entity — excluded from instagram_url."
"Cypress Junction Montessori (CJM)","United States","https://www.facebook.com/MontessoriofWinterHaven/","active — has Events tab, recent posts cross-posted by Winter Haven Chamber","https://www.instagram.com/cypressjunctionmontessori/","https://www.linkedin.com/company/cypress-junction-montessori-inc-","","","high","Winter Haven, FL. Tuition-free public Montessori charter K-8 (corporate name Cypress Junction Montessori, Inc.), website cypressjunction.org. IG has 139 followers/119 posts with Reels. Best-documented profile in this batch."
"Divine Mercy Montessori School","Uganda","","","","","","","low","AMBIGUOUS — 'Divine Mercy' is an extremely common Catholic school name; found candidates in Nigeria (facebook.com/DMSABUJA, Abuja — runs a Montessori method nursery), Kenya (founded 1994 by Fr. George Gathongo, serving needy children — no confirmed FB), and Uganda (facebook.com/Divinemercyvulnerableinfanteducationproject, Kanungu). Source row says Uganda/Buikwe District specifically but none of the found pages confirm that exact location — do not use any of these without further verification."
"Fig Tree Montessori","United States","https://www.facebook.com/p/Fig-Tree-Montessori-61577162181701/","appears active; page ID suggests created ~2025","https://www.instagram.com/figtreemontessori/","","","admin@figtreemontessori.org","high","Margate, Florida. Income-based tuition elementary+primary Montessori; MGGF grant; 501(c)(3) EIN 88-0658082. Clear name+location match."
"Footprints CBO Montessori Schools","Kenya","","","","","","","low","No dedicated Facebook/social page found. Small community-based org (MGGF grantee) running mobile tented Montessori classrooms for Samburu nomadic pastoralists — likely too small/informal for its own social presence. Related-but-distinct orgs exist (Montessori for Kenya, Montessori EsF Samburu Nomadic School Initiative, SARARA Foundation) — none confirmed as this specific CBO, not used to avoid misattribution."
"Foundation for Montessori Education in Nigeria (FMEN)","Nigeria","","","","","","info@fmen.org.ng","low","No standalone FMEN Facebook page found. Best public reference is a post ABOUT FMEN on the AMI (Association Montessori Internationale) Facebook page (facebook.com/montessoriami/posts/...) — this is a third-party mention, not FMEN's own page, so not counted as facebook_url. AMI-affiliated society based in Lekki, Lagos. Recommend contacting via fmen.org.ng directly instead of Facebook."
"Friends of Morazán — Montessori Pre-School","Nicaragua","","","","","","","low","UK-registered charity (Bristol-based, reg. no. 1111253) funding Montessori preschool teacher training in Puerto Morazán, Nicaragua. No dedicated Facebook page found — web presence centers on friendsofmorazan.org. Two unrelated pages ('Mundo Montessori Nicaragua', 'Primer Montessori de Nicaragua') surfaced but do not match this specific charity/program."
"Global Education Campaign / Dosti Foundation — purpose-built school with Montessori classroom","Pakistan","https://www.facebook.com/p/DOSTI-foundation-School-100071043978820/","","","https://pk.linkedin.com/company/dosti-foundation","","","low","AMBIGUOUS — at least 2 distinct 'Dosti Foundation' entities exist (this Pakistan-based Global Education Campaign affiliate vs. an unrelated real-estate-branded 'Dosti Foundation School' chain in Thane, India). The FB page could not be confirmed as specifically the Pakistan entity. LinkedIn (pk.linkedin.com domain) is more confidently the correct Pakistan org given the .pk domain — higher trust there than the FB link."
"Harmony Montessori School","United States","https://www.facebook.com/Harmony-Montessori-School-173110632701829/","established page, 654 likes, not obviously dead","","","","","medium","Identified as Harmony Montessori School, Portland, OR — runs a 'Children's Fund' tuition-assistance program for BIPOC/immigrant/refugee low-income families, Preschool Promise partner, matching the disadvantaged-school profile. CAUTION: at least 3 other unrelated 'Harmony Montessori' schools exist elsewhere (Joplin MO, El Centro CA, 'Harmony Day Montessori') — confirm before outreach."
"Harrington Elementary Children's House","United States","","","","","","","low","Could not identify this school. Several unrelated 'Harrington Elementary' schools exist (Maine, Washington State, Michigan, Massachusetts x2, California) but none with a Montessori or 'Children's House' program/naming. No entity combining 'Harrington' + 'Children's House' + Montessori surfaced — needs manual follow-up with a source document or city name, do not guess."
"Hilda Rothschild Foundation — EDUCAMBIO/Montessori Program","El Salvador","https://www.facebook.com/Educambio/","low visible engagement in search snippets; sister/parent page (Hilda Rothschild Foundation, Scarsdale NY) has ~673 likes","","","","","medium","NY-based foundation (Scarsdale NY) running the EDUCAMBIO Montessori program for ~250 children in San Salvador (Sagrado Corazón market + Mercado Central centers). Two possibly-duplicate FB URLs found (Educambio vs. a numeric 'hilda-rothschild-foundation' page) — needs manual click-through to confirm canonical page. Outreach likely goes through the Foundation, not a single school admin."
"Hill View Montessori Charter Public School","United States","https://www.facebook.com/HillViewMontessoriCharterPublicSchool/","active — ~1,206 likes, ~542 talking about this","","https://www.linkedin.com/company/hill-view-montessori-charter-public-district-","","","high","Haverhill, MA. Tuition-free public Montessori charter, K-8. Facebook is clearly the most active channel. Website hillviewmontessori.org."
"Hilltop Montessori School","United States","https://www.facebook.com/hilltopmontessorischoolvt/","","https://www.instagram.com/hilltopmontessorischoolvt/","","","","low","AMBIGUOUS — at least 3 distinct 'Hilltop Montessori School' entities exist: Birmingham AL (instagram.com/hilltopmontessori, founded 1996, no isolated FB URL), Brattleboro VT (facebook.com/hilltopmontessorischoolvt AND facebook.com/Hilltop.Montessori.VT — likely old+new page, serves toddler-grade 8 since 1972), and Steubenville OH (facebook.com/hilltopmontessoristeub, AMI-affiliated). Listed the VT page as best guess but source list gave no city/state to confirm which one is the target — needs disambiguation before outreach."
"Hopitutuqaiki Language Immersion School","United States","https://www.facebook.com/p/Hopitutuqaiki-100083402467331/","moderately active — ~769 likes, ~95 talking about this","","","","hlis@hopitutuqaiki.com","high","Kykotsmovi, Hopi Reservation, Arizona. Small, privately-funded Hopi-language immersion Montessori program (ages 3-6) held at the Peace Academic Center. Outreach should be warm/personal given small scale (Coordinator: Paulesha Sewemaenewa, 928-814-0091)."
"Hopscotch Montessori Kyiv (via Seeds for Ukraine)","Ukraine","https://www.facebook.com/hopscotch.montessori.kyiv/","actively indexed/current","https://www.instagram.com/hopscotch_montessori_kyiv/","https://www.linkedin.com/company/hopscotch-montessori-school","","info@hopscotchmontessori.org","high","Staronavodnytska 6b, Kyiv 01015 (+38 067 234-91-15). Part of a larger 'Hopscotch Montessori' network with campuses in Kyiv and NYC — LinkedIn/some IG activity may be shared across campuses rather than Kyiv-exclusive."
"Horme — Red de Proyectos Sociales Montessori","Mexico","https://www.facebook.com/ComunidadHorme","unquantified; referenced via third-party mentions (Montessori México, Educación Montessori pages) rather than strong first-party signal","","","","","medium","Horme is an umbrella NETWORK (est. 2019, grew out of Educateurs sans Frontières' 7th Assembly, with Montessori México/AMI) connecting ~18 Montessori social-impact projects across Mexico — NOT itself a single school. Possible IG @horme_montessori found but tied to 'Comunidad Montessori Hormé' in Cuernavaca, a specific MEMBER project, not the network — excluded from instagram_url to avoid conflation. Unrelated Polish account (@szkola.horme.montessori) also surfaced — false positive, not used."
"Inkwell Montessori","United States","","","","","","info@inkwellmontessori.org","low","AMBIGUOUS — two unrelated schools share this name: Inkwell Montessori, Georgetown ON Canada (facebook.com/inkwellmontessori, instagram.com/inkwellmontessori, info@inkwellmontessori.com) and Inkwell Montessori, Cambridge MA USA (Wildflower Schools network, info@inkwellmontessori.org). Search results conflate the FB/IG handle between the two — could not confirm which physical school owns it without a manual visit. Row says United States, so the Cambridge MA (.org) entity is the likely match, but its FB/IG could not be cleanly separated from the Canadian one — left facebook/instagram blank to avoid a wrong link; email is cleanly distinguished as .org for the US one."
"Isla Montessori School","Northern Mariana Islands (USA)","https://www.facebook.com/islamontessori.org/","active, includes videos, appears regularly maintained","https://www.instagram.com/islamontessorischool/","","","info@islamontessori.org","high","Dandan, Saipan. Founded 2018, serves ages 2.5-9, offers Chamorro/Carolinian language instruction. 2025 Montessori Global Growth Fund grantee, has an active GoFundMe. Phone (670) 287-5282."
"Keila Montessori MTU","Estonia","https://www.facebook.com/KeilaMontessori/","active — recent posts found (e.g. hiring post for a Montessori group assistant)","","","","montessorikeila@gmail.com","high","NGO founded by local mothers to promote Montessori pedagogy in Keila. Runs one authentic Montessori group (ages 3-6) + a combined-age classroom (grades 2-4). 2025 Montessori Global Growth Fund grantee. Website keilamontessori.ee. Distinct from 'Keila Rukkilille Lasteaed' (separate municipal kindergarten, also has Montessori groups + its own FB page) — do not conflate."
"Little Tree Community (A Wildflower Montessori School)","United States","https://www.facebook.com/p/Little-Tree-Community-A-Wildflower-Montessori-School-61556915281928/","","https://www.instagram.com/littletree_community/","","","info@littletreecommunity.org","medium","Hollister, California. Founded 2020 by Sandra & Natasha Schwehr; part of the national Wildflower Schools micro-school network. Serves ages 2-10, blends Montessori with nature play/cooking/gardening. IG has Reels content (e.g. a reel about opening a new location). 1149 Powell Street, Hollister, CA 95023."
"Loo Kindergarten - Paasupesa Montessori Group","Estonia","https://www.facebook.com/p/Loo-Lasteaed-P%C3%A4%C3%A4supesa-100057060415394/","established page — 558 likes, 129 check-ins","","","","loopesa@gmail.com","medium","This is a MUNICIPAL KINDERGARTEN (Jõelähtme valla lasteaiad network) that runs a Montessori group, not a dedicated freestanding Montessori school — the FB page is for the kindergarten as a whole. Part of Estonian 'Health-Promoting Kindergartens' network since 2005. A second, possibly-duplicate/legacy FB page also exists (facebook.com/Loo-Lasteaed-Pääsupesa-208960535783457) — the one listed has visible engagement metrics, likely current. Address: Saha tee 12, Loo, 74201 Jõelähtme vald."
"MTU Montessori Kiili vallas","Estonia","https://www.facebook.com/p/MT%C3%9C-Montessori-Kiili-vallas-100090426780621/","unquantified — appears to be a smaller/newer community NGO page","","https://www.linkedin.com/in/janell-assmann-31043758/","","montessori.kiilis@gmail.com","medium","NGO (MTU) whose stated goal is to promote authentic Montessori pedagogy in Kiili Municipality (Harju County) and create Montessori kindergartens/schools — appears to be a grassroots/advocacy org rather than an operating school yet. LinkedIn link is the founder's personal profile (Janell Assmann, Founder and Board Member), not a company page. Registered address: Paekna village, Mikujõe tee 2, 75408, Kiili vald."
