"school_name","country","facebook_url","fb_activity","instagram_url","linkedin_url","x_url","email_found_incidentally","confidence","notes"
"Loo Kindergarten - Paasupesa Montessori Group","Estonia","https://www.facebook.com/p/Loo-Lasteaed-P%C3%A4%C3%A4supesa-100057060415394/","Appears active, ~624 likes","NONE","NONE","NONE","NONE","medium","Page is for the whole Loo Lasteaed kindergarten, not the Montessori group specifically; related public FB group Montessori Joelahtme vallas also exists"
"Mithing Pangarap Educational Foundation Inc. (Smokey Mountain outreach)","Philippines","https://www.facebook.com/mpefi/","Active, recent Reels/video content","NONE","NONE","NONE","NONE","high","Official page confirmed via mpefi.org homepage link; outreach arm of Philippine Montessori Center"
"Montessori del Mundo Charter School","United States","https://www.facebook.com/MontessoriDelMundo/","Active, confirmed via montessoridelmundo.org and PR mentions","NONE","NONE","NONE","NONE","high","Distinct from the separate Montessori del Mundo PTO FB page (facebook.com/MontessoridelmundoPTO), which is the parent group not the school"
"Montessori for Lebanon","Lebanon","https://www.facebook.com/montessori.for.lebanon","Recent post activity not confirmed from snippets","NONE","NONE","NONE","NONE","medium","Name/Beirut location match well; official site montessori-lebanon.org exists. Do not confuse with separate Lebanese Montessori Association page (facebook.com/MontessoriLB)"
"Montessori Forest","Israel","AMBIGUOUS: https://www.facebook.com/montessoriforestisrael/","Page named Yaldei HaChoresh (Forest Children), Tel Aviv, ~210 likes","NONE","NONE","NONE","NONE","low","Could not confirm this page is tied to the Mikveh Israel campus specifically; Mikveh Israel youth village hosts Montessori kindergartens generally but no page explicitly named Montessori Forest on that campus was confirmed"
"Montessori Foundation Ghana","Ghana","https://www.facebook.com/MontessoriFoundationofGhana/","Recent activity not independently verified from snippets","NONE","NONE","NONE","NONE","medium","Name/location (Labone, Accra) match org description; a similarly named site themontessorifoundationofghana.com also surfaced -- worth manual check before outreach"
"Montessori Head Start Program at Premier Academy Inc.","United States","https://www.facebook.com/PremierAcademyAtlantaGA","Activity not verified via snippets; link pulled directly from org's own site footer","https://www.instagram.com/premieracademyatlantaga/","NONE","NONE","info@premier-academy.org","high","FB and Instagram links pulled directly from premier-academy.org contact footer; page covers both Premier Academy locations, the Renaissance location hosts the Montessori Head Start program"
"Montessori International School of Vietnam — HMD Orphanage Kindergarten Program","Vietnam","https://www.facebook.com/MontessoriInternationalSchoolofVietnam/","Active, established school page since 2007","NONE","https://www.linkedin.com/company/montessori-international-school-of-vietnam","NONE","NONE","high","HMD Orphanage Kindergarten program is run directly by MIS (confirmed via montessori.edu.vn/about-us/charity), not a separate entity -- MIS's own school FB page is the correct contact point"
"Montessori Public Schools Thailand (EsF initiative)","Thailand","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Nationwide AMI/EsF-run initiative across 82+ public schools, not a single institution with its own page. Closest is AMI ESF's own page (facebook.com/MontessoriESF, Amsterdam-based parent org) -- not Thailand-specific. Montessori Thailand (facebook.com/Thailand.Montessori) and Montessori Association of Thailand are separate bodies, not confirmed as this initiative. NOTE: also on the 20-school EsF partnership letter in the Jul7 campaign -- info@montessori-esf.org may already be the right contact route"
"MTU Montessori Kiili vallas","Estonia","https://www.facebook.com/p/MT%C3%9C-Montessori-Kiili-vallas-100090426780621/","Active, ~90 likes, 9 talking about this","NONE","NONE","NONE","montessori.kiilis@gmail.com","high","Name, location (Kiili municipality) and mission match exactly; related public FB group Montessori Kiili vallas also exists"
"Mulberry Forest Montessori","United States","https://www.facebook.com/mulberryforestschool","Active, ~75 likes, recent hiring posts referencing current season","NONE","NONE","NONE","NONE","high","Confirmed via cross-link with official website mulberryforestschool.net; page titled Mulberry Forest School (not ...Montessori in the URL/name) but content confirms it is the Montessori forest school"
"Ncinci One's Montessori","South Africa","https://www.facebook.com/p/Ncinci-Ones-Montessori-Hole-in-the-Wall-100080748454470/","Active, 1,744 likes","NONE","NONE","NONE","NONE","high","Confirmed via samontessori.org.za and GlobalGiving as the same project at Hole in the Wall/Coffee Bay, Eastern Cape"
"Northern Blooms Montessori","United States","https://www.facebook.com/northernblooms.co/","Appears active, linked from official school website","https://www.instagram.com/northernbloomsmontessori/","NONE","NONE","hello@northernblooms.co","high","FB page name and profile explicitly match Traverse City MI school; also has active Instagram"
"NPH Honduras — Casa Santa Ana Montessori Program","Honduras","NONE","NONE","NONE","https://www.linkedin.com/company/nph-honduras","NONE","NONE","low","Could not confirm a dedicated FB page for the Montessori program itself. A Montessori Bilingual School Santa Ana FB page exists but appears to be a Dominican Republic NPH facility (Casa Santa Ana DR), not Honduras -- do not use, likely wrong country. NPH Honduras general LinkedIn found instead"
"O.B. Montessori Child and Community Foundation — Pagsasarili Preschools","Philippines","AMBIGUOUS: https://www.facebook.com/pages/O.B.%20Montessori%20Pagsasarili%20School%20San%20Juan%20City/1883886908563434/","Activity level unclear from snippets","NONE","NONE","NONE","NONE","medium","Parent org OB Montessori Center's official page is facebook.com/obmcofficial (40,879 likes, clearly active) but that is the HQ school, not the Pagsasarili Foundation specifically; the Pagsasarili-specific San Juan page is plausible but unverified further"
