school_name,country,facebook_url,fb_activity,instagram_url,linkedin_url,x_url,email_found_incidentally,confidence,notes
마마몽떼 광주 태전센터 (MamaMonte Gwangju Taejeon - Gyeonggi),South Korea,,,https://www.instagram.com/mamamonte_official/,,,,low,"""No per-center FB found; brand IG @mamamonte_official found, brand page - no FB confirmed"""
마마몽떼 경기 평촌센터 (MamaMonte Pyeongchon),South Korea,,,https://www.instagram.com/mamamonte_official/,,,,low,"""brand page - no FB confirmed"""
마마몽떼 군산 조촌센터 (MamaMonte Gunsan Jochon),South Korea,,,https://www.instagram.com/mamamonte_official/,,,,low,"""brand page - no FB confirmed"""
마마몽떼 송파 헬리오시티센터 (MamaMonte Songpa Helio City),South Korea,,,https://www.instagram.com/mamamonte_official/,,,,low,"""brand page - no FB confirmed"""
마마몽떼 신길 뉴타운센터 (MamaMonte Singil New Town),South Korea,,,https://www.instagram.com/mamamonte_official/,,,,low,"""brand page - no FB confirmed"""
마마몽떼 강동 고덕센터 (MamaMonte Gangdong Godeok),South Korea,,,https://www.instagram.com/mamamonte_official/,,,,low,"""brand page - no FB confirmed"""
마마몽떼 분당 정자센터 (MamaMonte Bundang Jeongja),South Korea,,,https://www.instagram.com/mamamonte_official/,,,,low,"""brand page - no FB confirmed"""
마마몽떼 경기 양평센터 (MamaMonte Yangpyeong),South Korea,,,https://www.instagram.com/mamamonte_official/,,,,low,"""brand page - no FB confirmed"""
마마몽떼 은평 녹번센터 (MamaMonte Eunpyeong Nokbeon),South Korea,,,https://www.instagram.com/mamamonte_official/,,,,low,"""brand page - no FB confirmed"""
마마몽떼 경기 과천센터 (MamaMonte Gwacheon),South Korea,,,https://www.instagram.com/mamamonte_official/,,,,low,"""brand page - no FB confirmed"""
마마몽떼 대구 시지센터 (MamaMonte Daegu Siji),South Korea,,,https://www.instagram.com/mamamonte_official/,,,,low,"""brand page - no FB confirmed"""
마마몽떼 전주 혁신센터 (MamaMonte Jeonju Innovation),South Korea,,,https://www.instagram.com/mamamonte_official/,,,,low,"""brand page - no FB confirmed"""
마마몽떼 천안 불당센터 (MamaMonte Cheonan Buldang),South Korea,,,https://www.instagram.com/mamamonte_official/,,,,low,"""brand page - no FB confirmed"""
마마몽떼 부산 동래센터 (MamaMonte Busan Dongnae),South Korea,,,https://www.instagram.com/mamamonte_official/,,,,low,"""brand page - no FB confirmed; center opened Feb 2025"""
청담몬테소리유치원 (Cheongdam Montessori Kindergarten),South Korea,,,,,,,low,"""No FB or IG found in snippets"""
신촌몬테소리유치원 (Shinchon Montessori Kindergarten),South Korea,,,,,,,low,"""No FB or IG found in snippets"""
세인몬테소리유치원 (Sein Montessori Kindergarten),South Korea,,,,,,,low,"""No FB or IG found in snippets"""
"몬테소리유치원 (Montessori Kindergarten, Mokpo)",South Korea,,,,,,,low,No FB or IG found in snippets
미소몬테소리어린이집 (Miso Montessori Daycare),South Korea,,,,,,,low,"""No FB or IG found in snippets"""
서울몬테소리유치원 (Seoul Montessori Kindergarten),South Korea,,,,,,,low,"""No FB or IG found in snippets"""
다원몬테소리 (Dawon Montessori),South Korea,,,https://www.instagram.com/dawonmontessori/,,,dawonmontessori@daum.net,low,"""IG @dawonmontessori found; no FB confirmed; this is a materials company not a school"""
그랑누리 몬테소리스쿨 (Grangnuri Montessori School),South Korea,,,,,,,low,"""No FB or IG found in snippets"""
아가월드몬테소리 (Agaworld Montessori),South Korea,,,https://www.instagram.com/agaworldmontessori_official/,,,,low,"""IG @agaworldmontessori_official found; no FB confirmed"""
AMI 한국몬테소리연구소 / Montessori Center Korea (0-3 training center),South Korea,,,https://www.instagram.com/a.m.i.montessori/,,,montessori-center@naver.com,low,"""IG @a.m.i.montessori found; no FB confirmed; training center"""
Korea Montessori Institute (AMI Training Centre),South Korea,,,,,,,low,"""No FB found; AMI directory listing only"""
한국몬테소리협회 KMS (Korea Montessori Society),South Korea,https://www.facebook.com/KoreaMontessori/,,,,,,medium,"""FB page name '한국몬테소리' matches org name in Korean; org site kkms.co.kr located Songpa-gu Seoul (input says Gangnam-gu) - location mismatch noted, but same org (KMS)"""
(사)한국몬테소리교육총연합회 (Korea Montessori Education Federation),South Korea,,,,,,,low,"""No FB found"""
신나는유치원 (Sinnaneun Kindergarten - Montessori program),South Korea,,,,,,,low,"""No FB found; distinct from unrelated 신나는학교 in Goyang"""
과천 몬테소리 어린이집 (Gwacheon Montessori Daycare - Instagram-listed),South Korea,,,https://www.instagram.com/gc_montessori/,,,,high,"""Website column IS the Instagram URL - recorded directly per rule"""
또래또몬테소리어린이집 (Ddoraeddo Montessori Daycare),South Korea,,,,,,,low,"""No FB found"""
헤리아 몬테소리교사교육원 (Heria Montessori Teacher Training Institute),South Korea,,,,,,,low,"""No FB found"""
SC Colegio Vizcaya,Spain,https://www.facebook.com/Colegio-Vizcaya-75-330163770490594/,,https://www.instagram.com/colegiovizcaya_/?hl=es,,,,medium,"""Also a related Fundación FB page facebook.com/FundacionColegioVizcayaFundazioa; name+city (Bilbao) match"""
Montessori Tafira,Spain,https://www.facebook.com/61575632163056/,,https://www.instagram.com/montessori_tafira/,,,,medium,"""Name+location (Tafira, Las Palmas) match; IG confirmed with 1824 followers"""
