"school_name","country","facebook_url","fb_activity","instagram_url","linkedin_url","x_url","email_found_incidentally","confidence","notes"
"Christian Montessori School","United States","","","","","","","none","No distinct FB page found for Saint Simons Island location; likely operates as Lord of Life Christian Montessori School, no confirmed FB match"
"Christian Montessori School at Lake Norman","United States","https://www.facebook.com/christianmontessorischool/","active, 813 likes, 22 reviews, posts events (Easter Egg Hunt)","https://www.instagram.com/cmslakenorman/","","","","high","Name + Huntersville NC location confirmed in snippet"
"Christopher Academy-Scotch Plains Campus","United States","https://www.facebook.com/christopheracademy/","limited visibility in snippet, referenced as NJ's original Montessori school","","","","","medium","Chain page for Christopher Academy NJ; not campus-specific but confirmed as the org's main page"
"Christopher Academy-Westfield Campus","United States","https://www.facebook.com/christopheracademy/","limited visibility in snippet","","","","","medium","Same chain FB page; Westfield location confirmed via other sources (christopheracademy.com HQ at Westfield NJ)"
"Cincinnati Country Day School","United States","https://www.facebook.com/111970952152674","active, main page for Indian Hill/Cincinnati OH school","","","","","high","Confirmed private independent school in Indian Hill, Cincinnati suburb"
"Circle of Friends Montessori School","United States","","","","","","","none","Only found North Attleboro MA and Balbriggan Ireland locations, none in Chester"
"Clear Lake Montessori School","United States","https://www.facebook.com/p/Clear-Lake-Montessori-School-100057620073089/","active, AMS Full Member content","","","","","high","Confirmed Houston TX location, AMS full member, language immersion"
"Clover Montessori","Brazil","https://www.facebook.com/clovermontessorilondrina/","active, 1228 likes, motto 'Educação para a vida'","","","","","high","Londrina PR confirmed match"
"Colegio Aiurri Montessori","Spain","https://www.facebook.com/aiurrimontessori/","active page, Vitoria-Gasteiz school","https://www.instagram.com/aiurri_montessori_eskola/","","","","high","Confirmed Vitoria-Gasteiz location, Basque-medium school"
"Colegio Bilingüe Montessori (Montessori Venado Tuerto)","Argentina","https://www.facebook.com/montessorivenado/","limited visibility, page exists","","","","","high","Confirmed Venado Tuerto match, first institution authorized by Santa Fe Ministry of Education"
"Colegio Bilingüe Saint Paul","Argentina","https://www.facebook.com/colegiosaintpaul/","active, 259 likes, 207 visits, connects with students/families","","","","","high","Confirmed Santa Lucía, San Juan, Argentina match; website saintpaul.edu.ar"
"Colegio Chiquitines Montessori","Mexico","https://www.facebook.com/chiquitinesmontessoriqro/","active, videos/reels content","","","","","high","Confirmed Queretaro match via page handle 'qro'"
"Colegio Divino Jesús","Peru","","","","","","","none","Found Divino Jesús pages for Magdalena/Lima general and other districts, no distinct Comas match confirmed (Comas has a differently-named 'Colegio Jesus-Collique' page)"
"Colegio Ekirayá Montessori","Colombia","","","","","","","none","Only found a university video mentioning the school's founder, no dedicated FB page found"
"Colegio Margaret Mead","Peru","https://www.facebook.com/ColegioMargaretMead/","active, frequent video posts about school life","","","","","medium","FB page confirmed for Lima Montessori school in Magdalena del Mar (not San Isidro specifically); likely same school given proximity, note discrepancy"
"Colegio Montessori Albatros","Mexico","","","","","","","none","FB page found is for Cuernavaca, Morelos location, not Guadalajara - different city, not a match"
"Colegio Montessori Linda Vista","Mexico","https://es-la.facebook.com/montessorilindavista/","has posted videos (thank you posts to students/parents)","","","","","high","Confirmed Monterrey/Guadalupe NL location match"
"Colegio Montessori Luján","Argentina","https://www.facebook.com/ColegioMontessoriLujan/","active, 7879 likes, 369 visitors, bilingual program","https://www.instagram.com/colegio_montessori_lujan/","","","","high","Confirmed Luján, Argentina match"
"Colegio Montessori Nuevo Milenio","Mexico","https://www.facebook.com/montessoriColegio850/","page exists, limited snippet visibility","","","","","medium","Title confirms Guadalajara match, but page content not visible in snippet"
"Colegio Montessori Quetzalli","Mexico","https://www.facebook.com/p/Colegio-Montessori-Quetzalli-61574596155614/","page exists, limited snippet visibility","","","","","medium","Name matches exactly but location (Puebla/Cholula) not shown in snippet content"
"Colegio Montessori Rosario","Argentina","https://www.facebook.com/MontessoriRosario/","active, 96% recommendation, 35 reviews","","","","info@montessorirosario.com.ar","high","Confirmed Rosario, Argentina match with address and phone"
"Colegio Montessori Sunrise","Argentina","https://www.facebook.com/talleresmontessorisunrise/","active page","https://www.instagram.com/montessorisunrise/","","","","high","Confirmed Buenos Aires (Recoleta/Palermo) trilingual kindergarten match"
"Colegio Montessori de Monterrey AC","Mexico","https://www.facebook.com/pages/Colegio%20Montessori%20de%20Monterrey/637241649689019/","active, alumni group pages also exist","","","","","high","Confirmed Monterrey match, multiple related pages including alumni generation groups"
"Colegio Mundo Montessori de Puebla AC","Mexico","https://ms-my.facebook.com/mmontessoripuebla/","has video content","","","","","medium","Page handle mmontessoripuebla suggests Puebla match but not Cholula-specific"
"Colegio Nuevo Milenio","Mexico","https://www.facebook.com/CNMGDL/","active, videos/reels, 'back to school' content","","","","","high","Confirmed Guadalajara (GDL) match via page handle"
"Colegio Preescolar Maria Montessori (La Florida)","Mexico","https://www.facebook.com/MontessoriPreescolar/","active, 936 likes","","","","","medium","Confirmed Guadalajara location (Demócrito street) but 'La Florida' neighborhood not specifically shown in snippet"
"Colegio Público Alhfil","Spain","","","","","","","none","No Facebook page found; public rural school (CPR) confirmed via other sources, likely no active FB presence"
"Colegio Tlatoani Montessori","Mexico","https://www.facebook.com/ColegioTlatoaniMontessori/","active, videos/reels, dance/school event content","","","","","high","Confirmed Puebla (Col. Bugambilias) address match"
"Colegio Vida Montessori","Argentina","","","","","","","none","No distinct match found for Santa Isabel location; search returned unrelated Santa Isabel schools"
"Colégio Céu Azul","Brazil","https://www.facebook.com/ceuazulmontessori/","active, reels content","","","","","high","Confirmed Petrópolis RJ, first Montessori school in Petrópolis, OMB affiliated"
"Colégio Maria Montessori","Brazil","https://www.facebook.com/montessorimcz/","active","https://www.instagram.com/montessorimcz/","","https://x.com/montessorimcz","","high","Confirmed Maceió AL match via handle 'mcz' and founding date 1979"
"Colégio Maria Montessori (Campo Grande)","Brazil","https://www.facebook.com/ColegioMontessoriMS/","active, 4539 likes, 940 visits","","","","","high","Confirmed Campo Grande/MS match"
"Colégio Montessori Rainha da Paz","Brazil","https://www.facebook.com/escolaRainhadaPaz/","active, 7051 likes","https://www.instagram.com/rainhadapaz.aracati/","","","","high","Confirmed Aracati CE match, Montessori method through 9th grade"
"Colégio Múltiplo - Unidade Kids","Brazil","https://www.facebook.com/colegiomultiplocampinas/","active, 1751 likes, 1563 check-ins, virtual tour videos","","","","","high","Confirmed Campinas SP match"
"Colégio Nossa Senhora Sion","Brazil","https://www.facebook.com/sioncuritiba/","active, 7908 likes, 4550 check-ins","https://www.instagram.com/sioncuritiba/","https://br.linkedin.com/company/col-gio-nossa-senhora-de-sion-curitiba","","","high","Confirmed Curitiba match, Montessori Method reference, founded 1906"
