"school_name","country","facebook_url","fb_activity","instagram_url","linkedin_url","x_url","email_found_incidentally","confidence","notes"
"草加藤幼稚園","Japan","","","https://www.instagram.com/sokafuji/","","","","none","no FB page found; has Instagram @sokafuji instead"
"草津カトリック幼稚園","Japan","","","","","","","none","no FB presence found in search results"
"荻窪りとるぱんぷきんず","Japan","","","","","","","none","no FB found; has Ameblo blog instead"
"菁莪幼稚園","Japan","https://www.facebook.com/pages/菁莪幼稚園/1506076679603983/","","","","","","high","matched by exact name; FB page found"
"菊水すずらん保育園","Japan","https://www.facebook.com/201021413730550","","","","","","high","matched by exact name; FB page found, Sapporo nursery"
"菓子野保育園","Japan","","","","","","","none","no dedicated FB page found, only city govt FB in results"
"菫ヶ丘子供の家","Japan","","","","","","","none","no FB match found, only Sasebo city govt FB in results"
"葛カトリック幼稚園","Japan","https://www.facebook.com/pages/葛カトリック幼稚園/270365192986274/","","","","","","high","matched by exact name; FB page found"
"葛生幼稚園","Japan","https://www.facebook.com/pages/葛生幼稚園/1844198182507894/","","","","","","high","matched by exact name; FB page found"
"蒲原聖母幼稚園","Japan","","","","","","","none","no FB match for this specific campus; only related '静岡聖母幼稚園' (different campus) found"
"蔵王めぐみ幼稚園","Japan","https://www.facebook.com/pages/蔵王めぐみ幼稚園/202548636914036/","","","","","","high","matched by exact name; FB page found"
"藤原幼児園","Japan","","","","","","","none","no FB presence found, common name"
"藤幼稚園","Japan","","","","","","","none","name too generic; multiple similarly-named FB pages (Asahikawa/Bihoro/Otaru/Hakodate 藤幼稚園) but none confirmed for Sapporo"
"藤枝聖マリア保育園","Japan","","","","","","","none","no FB presence found in search results"
"藤枝聖母幼稚園","Japan","","","","","","","none","no FB presence found in search results"
"藤沢ひばりっこ保育園","Japan","","","","","","","none","no FB presence found in search results"
"虹の森カトリック幼稚園","Japan","https://www.facebook.com/pages/虹の森カトリック幼稚園/1742507646040938/","","","","","","high","matched by exact name; FB page found"
"裾野聖母幼稚園","Japan","https://www.facebook.com/pages/裾野聖母幼稚園/233673383459301/","","","","","","high","matched by exact name; FB page found"
"西九州大学附属 三光幼稚園","Japan","","","","","","","none","no FB presence found in search results"
"西原りとるぱんぷきんず","Japan","","","https://www.instagram.com/nishihara_little_pumpkins/","","","","none","no FB found; has Instagram @nishihara_little_pumpkins instead"
"西原りとるぱんぷきんず -ANNEX-","Japan","","","https://www.instagram.com/nishihara_little_pumpkins/","","","","none","annex/branch of main school; no separate FB found, shares Instagram of main campus"
"西原白百合保育園","Japan","https://www.facebook.com/pages/西原白百合保育園/1877534602531598/","","","","","","high","matched by exact name; FB page found, matches Nakagami/Okinawa area"
"西大島ルーテル保育園","Japan","","","","","","","none","no FB presence found in search results"
"西宇部小百合幼稚園","Japan","","","https://www.instagram.com/sayuriyochien/","","","","none","no FB found; has Instagram @sayuriyochien and @nsayuri8104 instead"
"西条聖マリア幼稚園","Japan","","","","","","","none","no FB presence found in search results"
"西条認定こども園 いずみ園","Japan","","","","","","","none","no dedicated FB page found, only Saijo city govt FB in results"
"西野桜幼稚園","Japan","","","","","","","none","no FB presence found in search results"
"西野第2桜幼稚園","Japan","","","","","","","none","no FB presence found in search results (sister school of 西野桜幼稚園)"
"見影橋保育園","Japan","","","","","","","none","no FB presence found; other unrelated Tachikawa nurseries' FB pages appeared instead"
"見沼あかね保育園","Japan","","","","","","","none","no FB presence found in search results"
"見沼あかね保育園分園","Japan","","","","","","","none","annex of 見沼あかね保育園; no FB presence found"
"見附天使幼稚園","Japan","","","","","","","none","no FB presence found; has own blog instead"
"角田カトリック幼稚園","Japan","","","","","","","none","no dedicated FB page found, only Kakuda city govt FB in results"
"言ノ葉保育園","Japan","","","","","","","none","no FB presence found in search results"
"認定こども園きらり","Japan","","","","","","","none","ambiguous - result found is a general FB page id with no name confirmation, several similarly-named kokodomoen pages in other areas; not confidently matched"
"調布そらいろ保育園","Japan","","","","","","","none","no FB presence found in search results"
"諏訪の森保育園","Japan","","","","","","","none","no FB presence found in search results"
"諫早純心幼稚園","Japan","https://www.facebook.com/pages/諫早純心幼稚園/259383134082011/","","","","","","high","matched by exact name; FB page found"
