"school_name","country","facebook_url","fb_activity","instagram_url","linkedin_url","x_url","email_found_incidentally","confidence","notes"
"Doves International Montessori School (DIMS)","Rwanda","https://facebook.com/DIMSKigali","","https://instagram.com/dimskigali","https://www.linkedin.com/company/dovemontessori","","admin@dovesmontessori.com","high","script pass: found on school website"
"Lavington Montessori Kindergarten","Kenya","https://www.facebook.com/profile.php","","https://www.instagram.com/lavingtonmontessori_ke","","","","high","script pass: found on school website"
"Nature's Way International Montessori","Rwanda","https://www.facebook.com/NaturesWayKigali","","","","","info@natureswaymontessori.rw","high","script pass: found on school website"
"Rainbow Connection Kindergarten and Primary","Kenya","https://m.facebook.com/rainbowconnectionnyali","","https://instagram.com/rainbow_connection_kenya","","","","high","script pass: found on school website"
"Princeton Preparatory Schools","Kenya","https://www.facebook.com/princetonprep","","http://www.instagram.com/princetonprep","","","","high","script pass: found on school website"
"Imani Montessori School, Lavington","Kenya","https://www.facebook.com/Imani-Montessori-School-376514466382444","","","","","","high","script pass: found on school website"
"International Christian Kindergarten, Westlands","Kenya","https://www.facebook.com/schoolofthenationsnairobi","","https://www.instagram.com/schoolofthenationsnairobi/profilecard","","","","high","script pass: found on school website"
"Montessori Learners (Dar Montessori Learners Ltd)","Tanzania","https://web.facebook.com/darmontessorilearners","","https://www.instagram.com/montessorilearners_ltd","","","admin@montessori.co.tz","high","script pass: found on school website"
"Motse Motheo Preschool and Daycare","Botswana","https://www.facebook.com/people/Motse-Motheo-Preschool-and-Daycare/100083333283326","","","","","info@motsemotheo.com","high","script pass: found on school website"
"Oaks Excellence Academy","Kenya","https://www.facebook.com/share/1Bv3V45Jzx","","https://www.instagram.com/oaksexcellenceacademy","","","","high","script pass: found on school website"
"Dukesbridge Gigiri Montessori","Kenya","https://www.facebook.com/dukesbridgeschool","","https://www.instagram.com/dukesbridge","","","","high","script pass: found on school website"
"Montessori Centre","Namibia","","","https://www.instagram.com/montessori.centre.namibia","","","montesorricentre@iway.com","medium","script pass: found on school website"
"Montessori Community of Tanzania (national association)","Tanzania","https://www.facebook.com/profile.php","","https://www.instagram.com/montessoritz","https://www.linkedin.com/company/82281740","","info@montessori.or.tz","high","script pass: found on school website"
"Olive Branch Montessori Academy","Tanzania","https://www.facebook.com/theolivebranchforchildren","","https://www.instagram.com/theolivebranchforchildren","https://www.linkedin.com/company/the-olive-branch-for-children","","info@theolivebranchforchildren.org","high","script pass: found on school website"
"Happy Hearts (3 preschool campuses: Amahoro/Rugarama/Kiyovu)","Rwanda","http://www.facebook.com/2008/fbml","","https://www.instagram.com/happyhearts_kgl","","https://x.com/Happyhearts_kgl","","high","script pass: found on school website"
"MCT Head of Training (Magdalena)","Tanzania","https://www.facebook.com/profile.php","","https://www.instagram.com/montessoritz","https://www.linkedin.com/company/82281740","","info@montessori.or.tz","high","script pass: found on school website"
"Mutendi Montessori Day School","Zimbabwe","http://www.facebook.com/MutendiMontessoriDaySchool","","http://www.instagram.com/mutendimontessori","","http://www.twitter.com/MutendiMontess","admin@mutendimontessori.com","high","script pass: found on school website"
"Wildflower Montessori School","Zimbabwe","https://www.facebook.com/wix","","https://www.instagram.com/glen_heritage_montessori","","","wildflowermontessorizw@gmail.com","high","script pass: found on school website"
