"school_name","country","facebook_url","fb_activity","instagram_url","linkedin_url","x_url","email_found_incidentally","confidence","notes"
"AIMPO Community Montessori Preschool","Rwanda","https://www.facebook.com/mankindprogress.aimpo","","https://www.instagram.com/aimpo","","","","medium","Page belongs to parent org AIMPO (African Initiative for Mankind Progress Organization), which runs the Montessori preschool as a program; not a separately-branded school page. Rwandan grassroots org serving the Batwa people, ED Richard Ntakirutimana."
"CoRE India / Montessori Training & Research Trust (MTRT)","India","https://www.facebook.com/p/MTRT-AMI-Montessori-Training-Institute-Hyderabad-61562373118046/","","https://www.instagram.com/mtrt_ami_hyd/","","","","medium","FB/IG confirmed for MTRT (AMI Montessori Training Institute Hyderabad, est. 1984), the training body associated with the CoRE India rural-education initiative. CoRE itself (Aanganwadi worker training) has no distinct social account found; likely reached via MTRT channels. IG has 857 followers, 130 posts."
"Harmony Montessori School","United States","https://www.facebook.com/Harmony-Montessori-School-173110632701829/","established page, 654 likes, not obviously dead","","","","","medium","Identified as Harmony Montessori School, Portland, OR — runs a 'Children's Fund' tuition-assistance program for BIPOC/immigrant/refugee low-income families, Preschool Promise partner, matching the disadvantaged-school profile. CAUTION: at least 3 other unrelated 'Harmony Montessori' schools exist elsewhere (Joplin MO, El Centro CA, 'Harmony Day Montessori') — confirm before outreach."
"Hilda Rothschild Foundation — EDUCAMBIO/Montessori Program","El Salvador","https://www.facebook.com/Educambio/","low visible engagement in search snippets; sister/parent page (Hilda Rothschild Foundation, Scarsdale NY) has ~673 likes","","","","","medium","NY-based foundation (Scarsdale NY) running the EDUCAMBIO Montessori program for ~250 children in San Salvador (Sagrado Corazón market + Mercado Central centers). Two possibly-duplicate FB URLs found (Educambio vs. a numeric 'hilda-rothschild-foundation' page) — needs manual click-through to confirm canonical page. Outreach likely goes through the Foundation, not a single school admin."
"Horme — Red de Proyectos Sociales Montessori","Mexico","https://www.facebook.com/ComunidadHorme","unquantified; referenced via third-party mentions (Montessori México, Educación Montessori pages) rather than strong first-party signal","","","","","medium","Horme is an umbrella NETWORK (est. 2019, grew out of Educateurs sans Frontières' 7th Assembly, with Montessori México/AMI) connecting ~18 Montessori social-impact projects across Mexico — NOT itself a single school. Possible IG @horme_montessori found but tied to 'Comunidad Montessori Hormé' in Cuernavaca, a specific MEMBER project, not the network — excluded from instagram_url to avoid conflation. Unrelated Polish account (@szkola.horme.montessori) also surfaced — false positive, not used."
"Little Tree Community (A Wildflower Montessori School)","United States","https://www.facebook.com/p/Little-Tree-Community-A-Wildflower-Montessori-School-61556915281928/","","https://www.instagram.com/littletree_community/","","","info@littletreecommunity.org","medium","Hollister, California. Founded 2020 by Sandra & Natasha Schwehr; part of the national Wildflower Schools micro-school network. Serves ages 2-10, blends Montessori with nature play/cooking/gardening. IG has Reels content (e.g. a reel about opening a new location). 1149 Powell Street, Hollister, CA 95023."
"Loo Kindergarten - Paasupesa Montessori Group","Estonia","https://www.facebook.com/p/Loo-Lasteaed-P%C3%A4%C3%A4supesa-100057060415394/","established page — 558 likes, 129 check-ins","","","","loopesa@gmail.com","medium","This is a MUNICIPAL KINDERGARTEN (Jõelähtme valla lasteaiad network) that runs a Montessori group, not a dedicated freestanding Montessori school — the FB page is for the kindergarten as a whole. Part of Estonian 'Health-Promoting Kindergartens' network since 2005. A second, possibly-duplicate/legacy FB page also exists (facebook.com/Loo-Lasteaed-Pääsupesa-208960535783457) — the one listed has visible engagement metrics, likely current. Address: Saha tee 12, Loo, 74201 Jõelähtme vald."
"MTU Montessori Kiili vallas","Estonia","https://www.facebook.com/p/MT%C3%9C-Montessori-Kiili-vallas-100090426780621/","unquantified — appears to be a smaller/newer community NGO page","","https://www.linkedin.com/in/janell-assmann-31043758/","","montessori.kiilis@gmail.com","medium","NGO (MTU) whose stated goal is to promote authentic Montessori pedagogy in Kiili Municipality (Harju County) and create Montessori kindergartens/schools — appears to be a grassroots/advocacy org rather than an operating school yet. LinkedIn link is the founder's personal profile (Janell Assmann, Founder and Board Member), not a company page. Registered address: Paekna village, Mikujõe tee 2, 75408, Kiili vald."
"Montessori for Lebanon","Lebanon","https://www.facebook.com/montessori.for.lebanon","Recent post activity not confirmed from snippets","NONE","NONE","NONE","NONE","medium","Name/Beirut location match well; official site montessori-lebanon.org exists. Do not confuse with separate Lebanese Montessori Association page (facebook.com/MontessoriLB)"
"Montessori Foundation Ghana","Ghana","https://www.facebook.com/MontessoriFoundationofGhana/","Recent activity not independently verified from snippets","NONE","NONE","NONE","NONE","medium","Name/location (Labone, Accra) match org description; a similarly named site themontessorifoundationofghana.com also surfaced -- worth manual check before outreach"
