School,Email,Region,Suburb,City,Phone,Website,Membership
Apple Tots Montessori Daycare,gorettidecanha@gmail.com,Gauteng (JHB),Weltevreden Park,Johannesburg,072 279 9550,NotApplicableSAMA2026-03-05T15:32:04+02:00SAMASchools,Initiate
Aquila Montessori School,admin@aquila-montessori.co.za,Gauteng (JHB),Dawn Park,Johannesburg,076 361 5484,www.poshminions.co.zaSAMA2026-03-19T13:48:59+02:00SAMASchools,Initiate
Be My Mom Kids Hotel and Montessori,bmmkidshotel@gmail.com,Gauteng (JHB),Diepkloof,Johannesburg,082 228 3500,NotApplicableSAMA2026-02-06T08:03:35+02:00SAMASchools,Initiate
Bryanston Montessori Pre-Primary School,chez@bryanstonmontessori.co.za,Gauteng (JHB),Randburg,Johannesburg,083 783 9143,www.bryanstonmontessori.co.zaSAMA2024-09-26T08:24:53+02:00SAMASchools,Initiate
Buccleuch Montessori School,admissions@bmpschool.co.za,Gauteng (JHB),Buccleuch,Johannesburg,(011) 802 4506,www.bmpschool.co.zaSAMA2026-05-22T10:55:19+02:00SAMASchools,Initiate
Bugs & Butterflies Montessori,admin@bugsandbutterflies.co.za,Gauteng (JHB),Roodepoort,Johannesburg,(011) 768 7201,www.bugsandbutterflies.co.zaSAMA2025-09-12T08:52:03+02:00SAMASchools,Progressive
Carletonville Montessori Academy,admin@cvillemont.co.za,Gauteng (JHB),Carletonville,Johannesburg,073 175 2988,www.cvillemont.co.zaSAMA2024-02-07T09:23:33+02:00SAMASchools,Initiate
Chartwell House Montessori Eco School,admin@montessoriecoschools.co.za,Gauteng (JHB),Chartwell,Johannesburg,082 529 7005,www.montessoriecoschools.co.zaSAMA2026-04-08T15:04:14+02:00SAMASchools,Progressive
Constantia Kloof Montessori,constantiakloofmontessori@gmail.com,Gauteng (JHB),Constantia Kloof,Johannesburg,074 133 0988,www.constantiakloofmontessori.co.zaSAMA2020-07-03T10:15:41+02:00SAMASchools,Initiate
Different Strokes Montessori,info@dsmschool.co.za,Gauteng (JHB),The Gardens,Johannesburg,081 307 2549,www.dsmschool.co.zaSAMA2026-05-20T12:11:03+02:00SAMASchools,Initiate
Divine Montessori School,admin@divinemontessori.co.za,Gauteng (JHB),Selcourt,Springs,064 514 8229,NotApplicableSAMA2026-03-19T14:02:30+02:00SAMASchools,Initiate
HillKruin Montessori School,admin@hillkruin.co.za,Gauteng (JHB),Midrand,Johannesburg,087 152 0939,www.hillkruin.co.zaSAMA2025-05-23T10:23:03+02:00SAMASchools,Progressive
Horizons Montessori School,horizonsmontessorischool@gmail.com,Gauteng (JHB),Boksburg,Johannesburg,082 566 5710,NotApplicableSAMA2026-02-24T14:01:14+02:00SAMASchools,Initiate
I M Smart Montessori Preschool,info@i-m-smart.co.za,Gauteng (JHB),Ferndale,Johannesburg,082 456 7887,www.i-m-smart.co.zaSAMA2026-06-08T12:33:42+02:00SAMASchools,Initiate
