School,Email,Region,City,Phone,Website,Source,Notes
스콜라몬테소리 (Scuola Montessori HQ),scuola-edu@naver.com,Busan,Busan,051-746-9030,https://scuola.co.kr,Official franchise HQ site scuola.co.kr,"Franchise HQ email covering 70 centers nationwide (서울/경기/충청/강원/경상/전라/제주/해외); use for all Scuola-branded centers until individual branch emails found"
마마몽떼 몬테소리 (MamaMonte HQ),onizkaf2@naver.com,Seoul,Seoul (Gangseo-gu),02-6204-6222,https://mamamonte.com,Official franchise HQ site mamamonte.com,"Franchise HQ email covering ~42 centers nationwide; individual centers only publish phone numbers, not emails"
마마몽떼 부산 동래허브센터 (MamaMonte Busan Dongnae Hub),NOT_FOUND,Busan,Busan (Dongnae-gu),010-9543-5506,https://mamamonte.com/22/?bmode=view&idx=150627400,mamamonte.com center listing,"Branch only publishes phone; use HQ email onizkaf2@naver.com for outreach"
마마몽떼 대전 도안센터 (MamaMonte Daejeon Doan),NOT_FOUND,Daejeon,Daejeon (Yuseong-gu),010-9699-9876,https://mamamonte.com/22/?bmode=view&idx=80977037,mamamonte.com center listing,"Branch only publishes phone; use HQ email onizkaf2@naver.com"
마마몽떼 배곧신도시센터 (MamaMonte Baegot New Town),NOT_FOUND,Gyeonggi,Siheung,010-6432-2162,https://mamamonte.com/22/?bmode=view&idx=18042920,mamamonte.com center listing,"Branch only publishes phone; use HQ email onizkaf2@naver.com"
마마몽떼 부산 남구용호센터 (MamaMonte Busan Yongho),NOT_FOUND,Busan,Busan (Nam-gu),010-8176-6810,https://mamamonte.com/22/?bmode=view&idx=18042909,mamamonte.com center listing,"Branch only publishes phone; use HQ email onizkaf2@naver.com"
마마몽떼 광주 태전센터 (MamaMonte Gwangju Taejeon - Gyeonggi),NOT_FOUND,Gyeonggi,Gwangju-si (Gyeonggi),010-5750-2025,https://mamamonte.com/22/?bmode=view&idx=18042860,mamamonte.com center listing,"Note: this is Gwangju-si in Gyeonggi-do, not Gwangju Metropolitan City; branch only publishes phone"
마마몽떼 경기 평촌센터 (MamaMonte Pyeongchon),NOT_FOUND,Gyeonggi,Anyang,010-4429-0360,https://mamamonte.com/22/?bmode=view&idx=17520128,mamamonte.com center listing,"Branch only publishes phone; use HQ email onizkaf2@naver.com"
마마몽떼 군산 조촌센터 (MamaMonte Gunsan Jochon),NOT_FOUND,Jeollabuk-do,Gunsan,010-7607-3253,https://mamamonte.com/22/?bmode=view&idx=17520121,mamamonte.com center listing,"Branch only publishes phone; use HQ email onizkaf2@naver.com"
마마몽떼 송파 헬리오시티센터 (MamaMonte Songpa Helio City),NOT_FOUND,Seoul,Seoul (Songpa-gu),010-5674-3792,https://mamamonte.com/22/?bmode=view&idx=17520088,mamamonte.com center listing,"Branch only publishes phone; use HQ email onizkaf2@naver.com"
마마몽떼 신길 뉴타운센터 (MamaMonte Singil New Town),NOT_FOUND,Seoul,Seoul (Yeongdeungpo-gu),010-4866-7624,https://mamamonte.com/22/?bmode=view&idx=17520069,mamamonte.com center listing,"Branch only publishes phone; use HQ email onizkaf2@naver.com"
마마몽떼 강동 고덕센터 (MamaMonte Gangdong Godeok),NOT_FOUND,Seoul,Seoul (Gangdong-gu),010-7741-7067,https://mamamonte.com/22/?bmode=view&idx=17520046,mamamonte.com center listing,"Branch only publishes phone; use HQ email onizkaf2@naver.com"
마마몽떼 분당 정자센터 (MamaMonte Bundang Jeongja),NOT_FOUND,Gyeonggi,Seongnam,010-6465-1029,https://mamamonte.com/22/?bmode=view&idx=17520001,mamamonte.com center listing,"Branch only publishes phone; use HQ email onizkaf2@naver.com"
