School,Email,Region,City,Phone,Website,Source,Notes
Sevilla Montessori School,info@sevillamontessorischool.es,Andalucía,Sevilla,NOT_FOUND,https://sevillamontessorischool.es/,asociacionmontessori.net (AME),AME-affiliated (AMI-aligned)
Granada International Montessori School,hello@montessorischoolgranada.com,Andalucía,Granada,NOT_FOUND,https://montessorischoolgranada.com/,asociacionmontessori.net (AME),AME-affiliated; alt contact mgonzalez@montessorischoolgranada.com
Centro Internacional María Montessori (CIMM Málaga),informacion@cimm.es,Andalucía,Málaga,NOT_FOUND,https://www.montessorimalaga.com/,asociacionmontessori.net (AME),"AME-affiliated; also admisiones@cimm.es, secretaria@cimm.es"
International Montessori Sotogrande (IMS),admissions@ims-sotogrande.com,Andalucía,"Sotogrande, Cádiz",NOT_FOUND,https://www.ims-sotogrande.com/,asociacionmontessori.net (AME),AME-affiliated
Raíces Montessori Benalmádena,raicescostadelsol@gmail.com,Andalucía,"Benalmádena, Málaga",NOT_FOUND,https://www.montessoribenalmadena.es/,asociacionmontessori.net (AME),AME-affiliated
Bahía Montessori,info@bahiamontessorischool.com,Andalucía,"Puerto de Santa María, Cádiz",678276109,http://www.bahiamontessorischool.com/,asociacionmontessori.net (AME) + ludus.org.es,AME-affiliated; same school as Ludus 'Bahia Montessori School' listing
Zaragoza SchoolHouse,hello@zaragozaschoolhouse.com,Aragón,Zaragoza,NOT_FOUND,https://zaragozaschoolhouse.com/en/,asociacionmontessori.net (AME),AME-affiliated
Barcelona Montessori School,info@barcelonamontessorischool.com,Cataluña,Barcelona,NOT_FOUND,https://es.barcelonamontessorischool.com/,asociacionmontessori.net (AME),AME-affiliated; PRIOR_CONTACT overlap (domain/email in Montree_Master_Outreach) — verify to:DOMAIN in:sent before drafting
Escola Montessori Subirats,info@montessorisubirats.com,Cataluña,Barcelona,NOT_FOUND,https://www.montessorisubirats.com/,asociacionmontessori.net (AME),AME-affiliated
Montessori Palau Girona,secretaria@montessori-palau.net,Cataluña,Girona,NOT_FOUND,https://www.montessori-palau.net/,asociacionmontessori.net (AME),AME-affiliated
Colegio San Pedro,info@sanpedrogava.com,Cataluña,"Gavà, Barcelona",NOT_FOUND,https://www.sanpedrogava.com/,asociacionmontessori.net (AME),AME-affiliated
Montessori Lleida,dpd@montessorilleida.com,Cataluña,Lleida,NOT_FOUND,https://www.montessorilleida.com/en/home/,asociacionmontessori.net (AME),"AME-affiliated; dpd = data protection contact, general inbox not found on site"
MA Escola Montessori,info@maespaieducatiu.com,Cataluña,Barcelona,NOT_FOUND,https://maescolamontessori.com/,asociacionmontessori.net (AME),AME-affiliated; alt info@maescolontessori.com also seen on site
Valencia Montessori School,info@valenciamontessori.org,Comunidad Valenciana,Valencia,NOT_FOUND,https://valenciamontessori.org/,asociacionmontessori.net (AME),AME-affiliated; alt hello@valenciamontessori.org
Escuela Infantil Ciudad Jardín,info@eiciudadjardin.com,Comunidad Valenciana,Valencia,NOT_FOUND,https://www.eiciudadjardin.com/,asociacionmontessori.net (AME),AME-affiliated
Alas Montessori School,alasmontessoriescuelainfantil@gmail.com,Comunidad Valenciana,Valencia,NOT_FOUND,https://alasmontessorischool.es/contacto,asociacionmontessori.net (AME),AME-affiliated
Eleven Montessori School,info@elevenschool.com,Galicia,Pontevedra (Vigo),NOT_FOUND,https://elevenschool.com/,asociacionmontessori.net (AME),AME-affiliated
Madrid Montessori School,info@madridmontessori.org,Madrid,Madrid,NOT_FOUND,https://www.madridmontessori.org/en/home/,asociacionmontessori.net (AME),"AME-affiliated. CAUTION: prior Apr-2026 campaign bounced info@madridmontessori.es (domain not found) - this is a DIFFERENT domain (.org) and should be verified fresh, not assumed same as the bounced address; PRIOR_CONTACT overlap (domain/email in Montree_Master_Outreach) — verify to:DOMAIN in:sent before drafting"
Montessori Babyhouse,info@montessoribabyhouse.com,Madrid,Madrid,600056858,https://montessoribabyhouse.com/en/,asociacionmontessori.net (AME) + ludus.org.es,AME-affiliated; same school as Ludus 'Montessori Baby House' listing
Montessori Villa Rosita,direccion@montessorivillarosita.org,Madrid,"Torrelodones, Madrid",619272030,https://montessorivillarosita.org/,asociacionmontessori.net (AME) + ludus.org.es,AME-affiliated; secondary school (ESO); same as Ludus listing
SC Colegio Vizcaya,NOT_FOUND,País Vasco,Bilbao,NOT_FOUND,https://www.colegiovizcaya.net/,asociacionmontessori.net (AME),"AME-affiliated; contact page 404'd, no email found on homepage"
Montessori Gran Bilbao,hola@montessorigranbilbao.com,País Vasco,"Sondika, Bizkaia",747488609,https://www.montessorigranbilbao.com/,asociacionmontessori.net (AME) + ludus.org.es,AME-affiliated; same school as Ludus listing
Montessori Schoolhouse Logroño,info@montessorilogrono.org,La Rioja,Logroño,NOT_FOUND,https://www.montessorilogrono.org/,asociacionmontessori.net (AME),AME-affiliated
Montessori Tafira,NOT_FOUND,Islas Canarias,Las Palmas,NOT_FOUND,https://www.instagram.com/montessori_tafira/,asociacionmontessori.net (AME),"AME-affiliated; only Instagram profile listed, no separate website found"
Amalur Comunitat Educativa Montessori,NOT_FOUND,Cataluña,"Santa Coloma de Cervelló, Barcelona",934960913,https://amalurcomunitateducativa.my.canva.site/web-amalur,ludus.org.es,"Infantil/Primaria/Secundaria 3-16; Canva microsite, no email visible"
