School,Email,Region,City,Phone,Website,Source,Notes
Little Land Nursery (Montessori Centre),info@littlelandnursery.com,Dubai,Umm Suqeim 2,+971 4 394 4471,https://www.littlelandnursery.com,Edarabia Montessori listing → own site,Montessori centre since 1993; email from own site; PRIOR_CONTACT overlap (domain/email in Montree_Master_Outreach) — verify to:DOMAIN in:sent before drafting
Canadian Montessori Nursery — Dubai,info@canadianmontessorinursery.com,Dubai,Al Khalidiya-style villa (Bait Al Mandi area),+971 6 528 6889,https://canadianmontessorinursery.com,Edarabia Montessori listing → own site,Also Admin@cmn.ae on site; phone listed on Edarabia is group number
Canadian Montessori Nursery — Sharjah,info@canadianmontessorinursery.com,Sharjah,Al Khalidiah,+971 6 528 6889,https://canadianmontessorinursery.com,Edarabia Montessori listing → own site,Same group email covers both branches
Baby Home Nursery (Montessori),info@babyhomenursery.com,Dubai,Jumeirah Lakes Towers (JLT),,https://babyhomenursery.com,Web search → own site contact page,English Montessori nursery in JLT; email from own contact page
Deira Montessori Nursery,NOT_FOUND,Dubai,Al Twar 2 (Deira),+971 4 263 3236,,Edarabia Montessori listing,No website listed on Edarabia; phone only
First Steps Nursery Montessori,info@firststepsnursery.com,Dubai,Umm Suqeim 3,+971 52 690 2339,http://fsnmontessori.com,Edarabia Montessori listing → own site,Email domain differs from site domain but shown on their own homepage
Kid's Island Nursery,hello@kidsislandnursery.com,Dubai,Jumeirah 3,+971 4 394 9394,https://www.kidsislandnursery.com,Edarabia Montessori-curriculum filter → own site,Montessori-curriculum nursery (Edarabia filter)
Great Minds Early Childhood Center,info@greatminds.ae,Dubai,City Walk / Box Park,+971 4 344 5222,https://www.greatminds.ae,Edarabia Montessori-curriculum filter → own site,Montessori-curriculum per Edarabia
Raffles Nursery — South Campus (Umm Suqeim),NOT_FOUND,Dubai,Umm Suqeim 3,+971 4 427 1228,https://www.rafflesnurseries.com,Edarabia Montessori-curriculum filter,Innoventures group; no email visible on site (enquiry form only)
Banan Nursery,NOT_FOUND,Dubai,Jumeirah 3 (Safa Park area),+971 4 346 6661,http://banannursery.com,Edarabia Montessori listing,Site unreachable during crawl (SSL error); phone from Edarabia
Burj Daycare Nursery (Montessori),NOT_FOUND,Dubai,Arabian Ranches 2,+971 4 430 7129,,Edarabia Montessori listing,Domain burjdaycarenursery.com is parked (Network Solutions placeholder); phone only
Fun and Play Nursery,NOT_FOUND,Dubai,Jumeirah Beach Residence (Sadaf 2),+971 58 572 0516,http://funplaynursery.com,Edarabia Montessori listing,Site is template with placeholder email; use phone
Ladybird Nursery — Jumeirah,info.jumeirah@ladybirdnursery.ae,Dubai,Jumeirah 1 (Al Wasl Rd),+971 4 344 1011,https://www.ladybirdnursery.ae,Edarabia Montessori listing → own site,Montessori + EYFS blend; per-branch email from own site
Ladybird Nursery — Al Barsha,info.albarsha@ladybirdnursery.ae,Dubai,Al Barsha 3,+971 4 344 1011,https://www.ladybirdnursery.ae,Edarabia Montessori listing → own site,Per-branch email from own site
