org_name,country,city,website,email,facebook_url,instagram_url,followers_estimate,social_strength,org_type,schools_reached_estimate,montessori_related,dup_of_master,notes,source_file,montessori_fit,fit_reason
Watoto Church / Watoto Child Care Uganda,Uganda,Kampala,https://www.watoto.com,,https://www.facebook.com/watotochildcareug/,https://www.instagram.com/watotointl/,"FB Watoto Church 137K + Watoto 92K + Watoto Uganda 7.6K likes; IG watotochurch 154K, watotointl 58K",10,network,,no,no,"Massive Uganda/S.Sudan org; villages + schools give holistic care to 3,000+ vulnerable/orphaned children incl. early years; huge donor-funded brand, church-based not Montessori",underpriv-africa-me-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Massive Uganda/S.Sudan org; villages + schools give holistic care to 3,000+ vulnerable/orphaned children…"
Cambodian Children's Fund,Cambodia,Phnom Penh,cambodianchildrensfund.org,team@cambodianchildrensfund.org,facebook.com/cambodianchildrensfund,instagram.com/cambochildrensfund,310000,10,network,,no,no,"Founded by ex-Hollywood exec Scott Neeson; ~2,000 children; child-centered kindergarten feeding full K-12 pipeline",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Founded by ex-Hollywood exec Scott Neeson; ~2,000 children; child-centered kindergarten feeding full K-12…"
Fundacion Pies Descalzos,Colombia,Barranquilla (national),fundacionpiesdescalzos.com,,facebook.com/fpiesdescalzos,instagram.com/fpiesdescalzos,265000,10,ngo_program,,no,no,"Shakira's foundation; public schools + Child Development Centers ages 0-5; 28,000+ children in 2024",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Shakira's foundation; public schools + Child Development Centers ages 0-5; 28,000+ children in 2024"
Fundacion Integra,Chile,"Santiago (national, 320 communes)",integra.cl,,facebook.com/f.integra,instagram.com/fundacion_integra,127600,10,network,,no,no,"Chile's largest early-childhood NGO; 1,237 centers, ~83,400 children incl. rural mobile kindergartens",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Chile's largest early-childhood NGO; 1,237 centers, ~83,400 children incl. rural mobile kindergartens"
Malala Fund,USA,New York/Washington DC,https://malala.org/,,https://www.facebook.com/MalalaFund/,,FB 1.07M likes,10,foundation,advocacy/policy - not a direct school network,no,no,"Largest social footprint found in this sweep; global girls'-education advocacy fund, not a school operator - best as a press/partnership contact not a school-onboarding lead",underpriv-global-networks-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Largest social footprint found in this sweep; global girls'-education advocacy fund, not a school operator -…"
Ubongo (Ubongo Kids),Tanzania,Dar es Salaam,https://www.ubongo.org/,,https://www.facebook.com/ubongokids/,,Ubongo Kids FB 546K; main Ubongo FB 21K,10,ngo_program,"reaches 32M families across sub-Saharan + francophone Africa (edutainment, not schools)",no,no,Pan-African edutainment nonprofit (Akili and Me = early-childhood numeracy/literacy for ages 3-6); not a school network but massive reach into the exact age band Montree serves,underpriv-global-networks-jul12.csv,NOT,No Montessori affiliation; runs its own model — Pan-African edutainment nonprofit (Akili and Me = early-childhood numeracy/literacy for ages 3-6); not a…
Tamer Institute for Community Education,Palestine,Ramallah,https://www.tamerinst.org/en/,,https://www.facebook.com/TamerInstitute/,https://www.instagram.com/tamerinstitute/,FB 127K likes; IG 10K,9,ngo_program,,no,no,"Est.1989; community literacy/reading + education programs reaching Palestinian children incl. Gaza/West Bank; huge, well-established social footprint; not preschool-specific but young-reader focused",underpriv-africa-me-jul12.csv,NOT,No Montessori affiliation; runs its own model — Est.1989; community literacy/reading + education programs reaching Palestinian children incl. Gaza/West Bank;…
The Citizens Foundation (TCF),Pakistan,Karachi (nationwide),tcf.org.pk,info@tcf.org.pk,facebook.com/TCF.Pak,instagram.com/tcfpak,206315,9,network,,no,no,"Pakistan's largest privately-run school network for underprivileged children; 1,800+ school units, 280,000+ students",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Pakistan's largest privately-run school network for underprivileged children; 1,800+ school units, 280,000+…"
Pour un Sourire d'Enfant (PSE),Cambodia,Phnom Penh,pse.ngo,contact-kh@pse.ngo,facebook.com/psecambodia,instagram.com/pse_cambodia,86000,9,network,,no,no,"Founded 1996 for dumpsite-scavenging children; ~6,500 children/yr served, education incl. early years, healthcare",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Founded 1996 for dumpsite-scavenging children; ~6,500 children/yr served, education incl. early years,…"
Mercy Centre (Human Development Foundation),Thailand,Bangkok (Khlong Toey),mercycentre.org,,facebook.com/mercycentre,instagram.com/hdfmercycentre,112000,9,network,,no,no,"Runs 17 kindergartens + 4 children's homes in Bangkok's largest slum; ~1,000 students/day, 45,000+ educated since 1972",underpriv-asia-latam-jul12.csv,NOT,"No Montessori affiliation; runs its own model — Runs 17 kindergartens + 4 children's homes in Bangkok's largest slum; ~1,000 students/day, 45,000+ educated…"
Gerando Falcoes,Brazil,"Sao Paulo (national, ~6,000 favelas)",gerandofalcoes.com,,facebook.com/GerandoFalcoes,instagram.com/gerandofalcoes,378000,9,network,,no,no,Large-scale favela development ecosystem; creche-waitlist elimination is a named program pillar,underpriv-asia-latam-jul12.csv,NOT,No Montessori affiliation; runs its own model — Large-scale favela development ecosystem; creche-waitlist elimination is a named program pillar
Instituto Alana,Brazil,Sao Paulo (national),alana.org.br,,facebook.com/institutoalana,instagram.com/institutoalana,708000,9,ngo_program,,no,no,Major national child-rights foundation; early-childhood policy + direct-program hybrid,underpriv-asia-latam-jul12.csv,NOT,No Montessori affiliation; runs its own model — Major national child-rights foundation; early-childhood policy + direct-program hybrid
Hogar de Cristo (Educacion Inicial),Chile,Santiago (national),hogardecristo.cl,,facebook.com/hdecristo,instagram.com/hogardecristo_chile,69000,9,network,,partial,no,"Anti-poverty NGO; ~30-35 free jardines infantiles applying Montessori elements, ~6,000 children/yr",underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Anti-poverty NGO; ~30-35 free jardines infantiles applying Montessori elements, ~6,000 children/yr"
