org_name,country,city,website,email,facebook_url,instagram_url,followers_estimate,social_strength,org_type,schools_reached_estimate,montessori_related,dup_of_master,notes,source_file,montessori_fit,fit_reason
Hogar de Cristo (Educacion Inicial),Chile,Santiago (national),hogardecristo.cl,,facebook.com/hdecristo,instagram.com/hogardecristo_chile,69000,9,network,,partial,no,"Anti-poverty NGO; ~30-35 free jardines infantiles applying Montessori elements, ~6,000 children/yr",underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Anti-poverty NGO; ~30-35 free jardines infantiles applying Montessori elements, ~6,000 children/yr"
Gawad Kalinga (SIBOL Preschool Program),Philippines,"Mandaluyong HQ, 2,000+ communities",gk1world.com,,facebook.com/gawadkalinga,instagram.com/gawadkalinga,255395,8,network,,partial,no,"SIBOL is a values-based, child-centered preschool program (ages 3-6) embedded across GK's 2,000+ poverty communities",underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — SIBOL is a values-based, child-centered preschool program (ages 3-6) embedded across GK's 2,000+ poverty…"
Fundacion Argentina Maria Montessori (FAMM),Argentina,"Boulogne, Buenos Aires",fundacionmontessori.org,info@fundacionmontessori.org,facebook.com/MontessoriArgentina,instagram.com/fundacionmontessorioficial,41500,8,ngo_program,,yes,no,"AMI-affiliated; 70 Montessori projects since 2007, 54% in vulnerable-context public settings",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — AMI-affiliated; 70 Montessori projects since 2007, 54% in vulnerable-context public settings"
SARARA Foundation - Nomadic Mobile Montessori Schools,Kenya,"Namunyak Conservancy, Samburu (Northern Kenya)",https://sarara.co/nomadic-education,,,https://www.instagram.com/sararafoundation/,IG @sararafoundation 19K; parent brand @sarara 66K,6,mobile,,yes,no,"Since 2019, mobile Montessori classrooms follow Samburu pastoralist communities; 4 schools, 185 children enrolled 2024 (96 boys/89 girls); explicitly Montessori-branded nomadic model; overlaps with EsF Samburu projects already in disadvantaged.csv but SARARA is a distinct funder/operator",underpriv-africa-me-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — Since 2019, mobile Montessori classrooms follow Samburu pastoralist communities; 4 schools, 185 children…"
OB Montessori Center (Pagsasarili Preschools),Philippines,San Juan City + Luzon-wide,obmontessori.edu.ph,info@obmontessori.edu.ph,facebook.com/obmcofficial,instagram.com/obmontessoriofficial,40909,6,network,,yes,no,~150 outreach Montessori-method preschools across Luzon for underprivileged/indigenous communities since 1966,underpriv-asia-latam-jul12.csv,MONTESSORI,Runs/is an explicit Montessori-method program — ~150 outreach Montessori-method preschools across Luzon for underprivileged/indigenous communities since 1966
PEPY Empowering Youth,Cambodia,Siem Reap,pepyempoweringyouth.org,,facebook.com/pepyempoweringyouth,instagram.com/pepy_cambodia,20300,6,ngo_program,,partial,no,Local NGO since 2005; child-centered community learning incl. early-childhood component,underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Local NGO since 2005; child-centered community learning incl. early-childhood component"
Dignity for Children Foundation,Malaysia,Kuala Lumpur (Sentul),dignityforchildren.org,dignity@dignityforchildren.org,facebook.com/dignityforchildren,instagram.com/dignityforchildren,16000,6,ngo_program,,partial,no,"Founded 1998; ~2,300 urban-poor students ages 2-19, references Montessori-influenced early provision",underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Founded 1998; ~2,300 urban-poor students ages 2-19, references Montessori-influenced early provision"
Las Golondrinas Foundation,Colombia,Medellin (Antioquia + Cordoba),fundacionlasgolondrinas.org,,facebook.com/FunGolondrinas,instagram.com/fundacionlasgolondrinas,11000,6,ngo_program,,partial,no,Early-childhood centers for displaced/marginalized families since 1981; Reggio-inspired; IADB-recognized,underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Early-childhood centers for displaced/marginalized families since 1981; Reggio-inspired; IADB-recognized"
Fundacion Cristo Vive,Chile,"Recoleta / Renca / La Pintana / Lampa, Santiago",fcristovive.cl,contacto@fundacioncristovive.cl,facebook.com/cristovivefundacion,instagram.com/fundacion_cristo_vive_chile,17000,6,ngo_program,,yes,no,"7 free full-Montessori kindergartens in vulnerable Santiago sectors, 880+ children daily",underpriv-asia-latam-jul12.csv,MONTESSORI,"Runs/is an explicit Montessori-method program — 7 free full-Montessori kindergartens in vulnerable Santiago sectors, 880+ children daily"
Ba Futuru,Timor-Leste,Dili,bafuturu.org,bafuturu@bafuturu.org,facebook.com/BaFuturu,,12000,5,ngo_program,,partial,no,Runs own preschool (ages 2-6) with child-centered/social-emotional pedagogy; active in all 13 municipalities,underpriv-asia-latam-jul12.csv,PARTIAL,"Larger org with a real, documented Montessori component — Runs own preschool (ages 2-6) with child-centered/social-emotional pedagogy; active in all 13 municipalities"
