org_name,country,city,website,email,facebook_url,instagram_url,followers_estimate,social_strength,org_type,montessori_related,notes,dup_of_master
Watoto Church / Watoto Child Care Uganda,Uganda,Kampala,https://www.watoto.com,,https://www.facebook.com/watotochildcareug/,https://www.instagram.com/watotointl/,"FB Watoto Church 137K + Watoto 92K + Watoto Uganda 7.6K likes; IG watotochurch 154K, watotointl 58K",10,network,no,"Massive Uganda/S.Sudan org; villages + schools give holistic care to 3,000+ vulnerable/orphaned children incl. early years; huge donor-funded brand, church-based not Montessori",no
Tamer Institute for Community Education,Palestine,Ramallah,https://www.tamerinst.org/en/,,https://www.facebook.com/TamerInstitute/,https://www.instagram.com/tamerinstitute/,FB 127K likes; IG 10K,9,ngo_program,no,"Est.1989; community literacy/reading + education programs reaching Palestinian children incl. Gaza/West Bank; huge, well-established social footprint; not preschool-specific but young-reader focused",no
Tawasol Egypt (Tawasol for Developing Istabl Antar),Egypt,Cairo (Istabl Antar / Ezbet Khairallah),https://tawasolegypt.org/,,https://www.facebook.com/TwasolEgypt/,https://www.instagram.com/tawasol.egypt/,"FB 45,170 likes; IG 45K",8,single_school,no,Est. 2008; free community school (~500 students incl. special needs) for out-of-school children in Cairo's slums; vocational + arts programs; very strong social footprint,no
SHOFCO (Shining Hope for Communities) - Kibera & Mathare Schools for Girls,Kenya,Nairobi (Kibera + Mathare),https://www.shofco.org/,,https://www.facebook.com/ShiningHopeforCommunities/,,"Facebook page active (follower count not confirmed in snippet); large press coverage (HuffPost, Hundred.org, major foundation funding)",8,network,no,Free schools for the most vulnerable girls in Kenya's largest slums; 521+ girls enrolled across 2 primary schools; holistic model incl. healthcare/food; internationally recognized flagship urban-slum education org,no
Slum2School Africa,Nigeria,Lagos (HQ; multi-state incl. NE Nigeria),https://slum2school.org/,,https://www.facebook.com/slum2school/,https://www.instagram.com/slum2school/,"IG 49K; FB 10,916 likes; X 10K",7,network,no,"Est. 2012; volunteer-driven org serving underserved/slum communities across Nigeria; 3,050+ scholarships, 107,450+ children given psychosocial support; Green Academies serve 250+ children each free of charge",no
Street Child (of Sierra Leone / Liberia / NE Nigeria),Sierra Leone,Freetown (network across SL/Liberia/Nigeria),https://www.street-child.org/,,https://www.facebook.com/streetchilduk/,https://www.instagram.com/streetchilduk/,"FB 20,079 likes; IG 11K",6,network,no,"UK-founded (2008) children's charity; works with 95+ local partner orgs; EFECT program enrolled 100,200+ out-of-school children across Sierra Leone/Liberia/NE Nigeria into primary school",no
Ubuntu Pathways,South Africa,Gqeberha / Port Elizabeth (Zwide township),https://ubuntupathways.org/,,https://www.facebook.com/UbuntuPathways/,,"FB 19,169 likes",6,network,no,"Est. 1999; integrated health+education+social support across Port Elizabeth townships; Ubuntu School is first high-achieving primary-through-high school in the townships; serves ~2,000 vulnerable children cradle-to-career",no
Iraqi Al-Amal Association,Iraq,Baghdad,https://iraqi-alamal.org/en/home-2/,,https://www.facebook.com/IraqiAlamalAssociation/,,FB 35K,6,ngo_program,no,"Est. 1992 post-Gulf War; children's education/protection + peacebuilding programs (conflict resolution, human rights, psychosocial support) for vulnerable Iraqi youth",no
Kliptown Youth Program (KYP / SKY),South Africa,Soweto (Kliptown),https://www.kliptownyouthprogram.org.za/,,https://www.facebook.com/kliptownyouthprogram/,https://www.instagram.com/kliptownyouthprogram/,"FB 16K; IG 1,803",5,single_school,no,"Community-based educational org providing holistic support (education, feeding, sport, computer lab) to children/youth of Kliptown informal settlement, Soweto",no
Ndlovu Care Group,South Africa,"Groblersdal / Sekhukhune District, Limpopo",https://ndlovucaregroup.co.za/,,https://www.facebook.com/ndlovucares/,,"FB 13,787 likes",5,network,no,"NPO running healthcare, childcare (incl. ECD/preschool) and youth development across rural Limpopo communities",no
SARARA Foundation - Nomadic Mobile Montessori Schools,Kenya,"Namunyak Conservancy, Samburu (Northern Kenya)",https://sarara.co/nomadic-education,,,https://www.instagram.com/sararafoundation/,IG @sararafoundation 19K; parent brand @sarara 66K,6,mobile,yes,"Since 2019, mobile Montessori classrooms follow Samburu pastoralist communities; 4 schools, 185 children enrolled 2024 (96 boys/89 girls); explicitly Montessori-branded nomadic model; overlaps with EsF Samburu projects already in disadvantaged.csv but SARARA is a distinct funder/operator",no
Kayany Foundation - The Ghata Project,Lebanon,Beirut / Bekaa Valley refugee camps,https://www.kayany-foundation.org/,,https://www.facebook.com/kayanyfoundation/,https://www.instagram.com/kayanyfoundation/,"FB 8,541 likes; IG 2,389",4,network,no,"Est. 2013; 4 portable 'Ghata' schools in Bekaa Valley informal tented settlements serving 3,500 Syrian refugee students ages 6-18, plus 2 girls' secondary/vocational schools",no
Karam Foundation,"Turkey / Syria (diaspora-run, US HQ)",Reyhanli/Gaziantep border region + Chicago HQ,https://karamfoundation.org/,,,https://www.instagram.com/karam_foundation/,IG 11K,4,ngo_program,no,"Innovative Education programs for Syrian refugee youth (incl. young children) along Turkey-Syria border; also Smart Aid + Sustainable Development projects; 3,000+ youth served",no
Justice Rising,DR Congo,Goma / North Kivu,https://www.justicerising.org/,,,https://www.instagram.com/justice_rising/,"IG 7,037",4,network,no,"Owns/operates a private network of 23 schools serving 4,000+ students in conflict-affected eastern DRC (North Kivu); focus on safe schools + motivated teachers in one of the world's hardest education contexts",no
Multi Aid Programs (MAPs),Lebanon,Bekaa Valley,https://www.map-lb.org/,,,,"Reach reported 500,000+ people; no confirmed follower count",5,network,no,"Founded 2013/2016 by a Syrian neurosurgeon; non-formal education, health care and community services for Syrian refugees + vulnerable Lebanese; large-scale operation",no
Missions of Hope International (MOHI),Kenya,Nairobi (Mathare Valley origin; now multi-slum + rural),https://mohiafrica.org/,,https://www.facebook.com/MoHiAfrica/,,"Facebook page active, follower count not confirmed in snippet",4,network,no,"Christian holistic org started in Mathare slum; now runs schools across Nairobi's informal settlements + remote rural Kenya; education, health, economic empowerment programs",no
BRAC Play Labs (East Africa),Uganda,Kampala (also Tanzania),https://www.bracusa.org/solutions/development/education-youth/early-childhood-development-education/,,,,Parent org BRAC is a major global NGO brand; specific Play Labs page followers not found,5,network,no,"Play-based early learning centers ages 3-5; 22,000+ children reached via 15 Play Labs in Uganda alone; 500,000+ children across Bangladesh/Tanzania/Uganda since 2015; award-winning model (HundrED)",no
FX Foundation,South Africa,Cape Town (materials distributed pan-Africa),https://www.fx-foundation.org/,,,,Not found in snippets,3,ngo_program,yes,Designs Montessori-inspired tactile learning materials for underprivileged early-childhood centers; distributes to under-resourced schools/ECD centers across Africa starting in SA; licensing-revenue self-sustaining model,no
Montessori Zimbabwe Trust,Zimbabwe,Bulawayo,https://montessorizimbabwe.org/,,https://www.facebook.com/MontessoriZimbabwe/,,FB 976 likes,2,single_school,yes,NGO-registered Montessori centre; offers free tuition to police officers' preschool children + has hosted a rescued street child; periodic donations to disability/disadvantaged orgs; modest but genuinely Montessori + charitable,no
Amitofo Care Center (ACC),"Multiple (Namibia, Lesotho, Malawi, Swaziland)","Okahandja, Namibia (HQ regional)",https://www.amitofocarecenter.org/,,https://www.facebook.com/amitofocarecenter/,https://www.instagram.com/amitofocarecenter/,"FB 1,880 likes; IG 434",2,network,no,"International NGO running boarding schools for vulnerable/orphaned children across Southern Africa (Namibia, Malawi, Lesotho, Eswatini); donor-sponsored, long-term poverty-cycle model",no
Osu Children's Home,Ghana,Accra (Labone),https://osuchildrenshome.gov.gh/,,https://www.facebook.com/osuchildrenshome/,,FB ~486 likes (+ separate 333-like page),1,single_school,no,Government-run residential children's home dating to 1949; care + protection + education for orphaned/vulnerable children; small social footprint,no
Retrak Ethiopia,Ethiopia,Addis Ababa,https://betterlives.org/2014/12/retrak-ethiopia/,,https://www.facebook.com/p/Retrak-Ethiopia-100069562422451/,,FB page found but near-inactive (~7 followers on a secondary page),1,ngo_program,no,"Reaches 800+ homeless/street children in Addis Ababa with shelter, catch-up education, reunification and vocational training; parent org Retrak larger but Ethiopia page itself has weak social presence",no
Questscope,Jordan,Amman,https://questscope.org/,,,,X/Twitter 778 followers; FB not confirmed,2,ngo_program,no,"Non-formal education (NFE) partnered with Jordan's Ministry of Education; first accredited NFE curriculum in the Arab world; ~70,000 youth incl. Syrian refugees enrolled since inception",no
SOUL for Development,Yemen,Sana'a,https://soul-ye.org/,,,,Not confirmed in snippets,2,ngo_program,no,"Yemeni NGO est. 1997; pioneer of Early Childhood Development in Yemen, ran a private ECD preschool in Sana'a since 2006 (ages 2-8); broader children/women development programs nationwide",no
Moroccan Foundation for Preschool Education (FMPS),Morocco,"Rabat (national programs incl. Casablanca-Settat, Marrakech-Safi)",https://fmps.ma/en/acceuil-english/,,,,Not confirmed in snippets,4,network,no,"Public-utility non-profit; jointly with Zakoura Foundation ran one of the largest preschool expansions in Morocco, reaching rural/disadvantaged communities; won 2025 Khalifa Education Award (Early Childhood category)",no
Zakoura Foundation,Morocco,Casablanca,https://www.zakoura.org/,,,,Not confirmed in snippets,3,network,no,Major Moroccan foundation partnering with FMPS on national rural preschool expansion for disadvantaged communities,no
Girls' Education South Sudan (GESS),South Sudan,Juba,https://girlseducationsouthsudan.org/,,,,Not confirmed in snippets,4,ngo_program,no,UK Aid-backed flagship program aiming to transform education access for a generation of South Sudanese children incl. girls in early grades,no
Iris Global - Zimpeto Children's Centre,Mozambique,Maputo (Zimpeto),https://www.irisglobal.org/locations/zimpeto,,,,Not confirmed in snippets,3,single_school,no,"Home to ~200 children with baby house, special-needs care, primary+secondary schools, community clinic; large missionary-run children's campus near Maputo",no
Essor / Ivory Foundation Preschool Project,Mozambique,Maputo,https://theivoryfoundation.org/education-training/access-to-preschool-in-mozambique/,,,,Not confirmed,2,ngo_program,no,"Project providing access to quality preschool for 60 vulnerable/orphaned children ages 3-6 in Maputo, run by association Essor with Ivory Foundation funding",no
TOWOC (Together for Women and Children),Cameroon,Yaounde region,https://www.towoc.org/,,,,Not confirmed,2,ngo_program,no,"NGO identifying and supporting needs of women, rural children and underprivileged communities across Cameroon",no
Children's Home Namibia,Namibia,Windhoek (Katutura Township),,,,,Not confirmed,2,single_school,no,Helps disadvantaged/abused children in Katutura Township access school education and jobs/higher-education opportunities,no
SAVE Foundation,South Africa,Multi-region (expanded to Namibia + Botswana),https://savefoundation.org.za/,,,,Not confirmed,3,network,no,"Founded 2006; supports under-resourced Educare (ECD) centres with funding, resources and teacher training across SA, Namibia and Botswana",no
HOPE worldwide Botswana,Botswana,Gaborone,,,,,Not confirmed,3,ngo_program,no,Part of the HOPE worldwide international network; supports orphans and vulnerable children (OVC) in Botswana incl. education access,no
Refugee Youth Education Hub (RYEH),Kenya,Dadaab refugee complex,,,,,Not confirmed,2,ngo_program,no,"Est. 2018; education + youth development + livelihood services for Somali refugee children/youth in Dadaab camps; 150,000+ donated books distributed; 7 staff + 100 volunteers",no
Mother Earth Montessori,Uganda,Gulu district (Northern Uganda),https://montessori-esf.org/blog/mother-earth-montessori-uganda,,,,Not confirmed,2,single_school,yes,Montessori primary school opened Feb 2020 for 50 children ages 3-6 from families unable to afford preschool/kindergarten in war-recovering Northern Uganda,no
Gulu Montessori School,Uganda,Gulu district,https://gulumontessori.school.blog/,,,,Not confirmed,2,single_school,yes,Founded by a Montessori teacher who relocated to Uganda to serve disadvantaged children in Gulu with authentic Montessori pedagogy,no
Washarika Montessori School,Uganda,Kampala area,https://washarika.org/montessori/,,,,Not confirmed,2,single_school,yes,Montessori program run under the Washarika community organization in Uganda,no
Sudan Relief Fund,Sudan / South Sudan,Multi-region,https://sdnrlf.com/,,,,Not confirmed,3,ngo_program,no,US-based fund building/supporting primary and secondary schools across South Sudan and Sudan amid ongoing conflict/displacement crisis,no
Zambia Open Community Schools (ZOCS),Zambia,Lusaka (national network),https://www.globalgiving.org/donate/6212/zambia-open-community-schools-zocs/,,,,Not confirmed,2,network,no,"Provides books/school requisites and access to quality education for Zambia's most needy children incl. OVC (orphans/vulnerable children), especially girls, preschool through secondary",no
Kids for the Kingdom / Needs Care Center,Zambia,Lusaka (Ng'ombe Compound),https://kidsforthekingdom.org/zambia/,,,,Not confirmed,2,single_school,no,"Local NGO in Ng'ombe Compound serving 1,450 children with Christ-centered education + two meals daily for families affected by poverty and HIV/AIDS",no
Small Projects Istanbul (SPI),Turkey,"Istanbul (Capa, Fatih district)",,,,,Not confirmed,2,ngo_program,no,"Community center serving Syrian refugee children/teens in Fatih district; art, music, Turkish-language classes and homework support to keep interrupted schooling on track",no
Montessori Ethiopia,Ethiopia,Addis Ababa,https://montessoriethiopia.com/,,,,Not confirmed,2,single_school,yes,Ethiopian Montessori initiative building a 'peace-loving society' curriculum of peace applied to young children,no
Al Amal Program,Egypt,Cairo,https://www.facebook.com/Al.Amal.program/,,https://www.facebook.com/Al.Amal.program/,,Not confirmed,2,single_school,no,Cairo-based program serving underprivileged children (name overlaps but distinct from Iraqi Al-Amal Association above),no
Ana Aqra Association,Lebanon,Beirut (national reach),https://anaaqra.com/,,,,Not confirmed,3,ngo_program,no,"Delivers community-based early childhood + literacy education; reached 320+ out-of-school Syrian refugee children ages 3-5 in Barja, Mount Lebanon alone; broader national ECE + teacher-training programs",no
Jusoor - Seeds of Light Early Childhood Program,Lebanon,Beqaa Valley (Jurahiya Center),https://www.jusoor.ngo/our-work/early-childhood-education,,,,Not confirmed,4,ngo_program,no,Multi-year whole-child early education program for Syrian refugee children ages 3-5 at the Jurahiya Center in the Beqaa Valley; part of a larger established Syrian-diaspora education org,no
Corner of Hope Montessori (New Canaan & Kisima) / Montessori for Kenya,Kenya,Nakuru,https://cornerofhope-esf.org/,info@montessori-esf.org,,,Not re-researched this session,0,ngo_program,yes,"Flagship AMI/EsF IDP-camp initiative since 2010; ~1,500 children served; already logged in disadvantaged.csv",yes
Footprints CBO Montessori Schools,Kenya,Samburu County (Kalepo/Kalama/Losesia/Sera),https://www.montessori-mggf.org/current-outstanding-grants/footprints-cbo,,,,Not re-researched this session,0,mobile,yes,Community-based org building mobile early-childhood Montessori schools for nomadic pastoralists; already logged in disadvantaged.csv,yes
Nomadic Samburu Montessori Schools (EsF),Kenya,Samburu / Namunyak Conservancy,https://montessori-esf.org/project/samburu,info@montessori-esf.org,,,Not re-researched this session,0,mobile,yes,Transferable Montessori schools for nomadic Samburu communities since 2018; already logged in disadvantaged.csv (adjacent to SARARA above),yes
East Pokot Montessori Teacher Training Initiative (EsF),Kenya,East Pokot district,https://montessori-esf.org/project/east-pokot,info@montessori-esf.org,,,Not re-researched this session,0,ngo_program,yes,Trains Pokot youth as certified Montessori teachers; ~250 children served across 5 environments; already logged in disadvantaged.csv,yes
Ikhaya Labantwana Montessori,South Africa,"Jonga Village, Coffee Bay, Eastern Cape",https://sustainablecoffeebay.org.za/home/our-work/early-childhood-development/ikhaya-labantwana-montessori/,ilm@sustainablecoffeebay.org.za,,,Not re-researched this session,0,single_school,yes,Rural Xhosa preschool run by Sustainable Coffee Bay NPO; already logged in disadvantaged.csv,yes
Ncinci One's Montessori,South Africa,"Nqileni Village / Hole in the Wall, Eastern Cape",https://www.wildcoast.co.za/ncinci-ones-montessori,,,,Not re-researched this session,0,single_school,yes,"Rural NPO Montessori preschool, sister project of Ikhaya Labantwana; already logged in disadvantaged.csv",yes
