org_name,country,city,website,email,facebook_url,instagram_url,followers_estimate,social_strength,org_type,schools_reached_estimate,montessori_related,notes,dup_of_master
Malala Fund,USA,New York/Washington DC,https://malala.org/,,https://www.facebook.com/MalalaFund/,,"FB 1.07M likes",10,foundation,"advocacy/policy - not a direct school network",no,"Largest social footprint found in this sweep; global girls'-education advocacy fund, not a school operator - best as a press/partnership contact not a school-onboarding lead",no
Ubongo (Ubongo Kids),Tanzania,Dar es Salaam,https://www.ubongo.org/,,https://www.facebook.com/ubongokids/,,"Ubongo Kids FB 546K; main Ubongo FB 21K",10,ngo_program,"reaches 32M families across sub-Saharan + francophone Africa (edutainment, not schools)",no,"Pan-African edutainment nonprofit (Akili and Me = early-childhood numeracy/literacy for ages 3-6); not a school network but massive reach into the exact age band Montree serves",no
Plan International,United Kingdom,Woking (global HQ network),https://plan-international.org/,,https://www.facebook.com/planinternational/,,"FB 409,906 likes",9,network,"operates in 80+ countries",no,"Global children's-rights + girls'-education org; huge reach, general (not Montessori)",no
JAAGO Foundation,Bangladesh,Dhaka,https://jaago.com.bd/,,https://www.facebook.com/JAAGOFoundation/,https://www.instagram.com/jaagofoundation/,"FB 398,951 likes",9,ngo_program,"30,000+ children across 64 districts / 495 upazilas",no,"Runs its own schools + Sponsor-A-Child program for underprivileged Bangladeshi children; email is Cloudflare-obscured mailto on /contact (seen on page, not decoded - contact via form)",no
ChildFund International,USA,Richmond VA,https://www.childfund.org/,,https://www.facebook.com/ChildFundInternational/,https://www.instagram.com/childfund/,"FB 255K followers",9,network,"multi-country child sponsorship + education network",no,"Education for Protection and Well-being (EPW) program in Sri Lanka, Sierra Leone, Uganda, Philippines, Gambia",no
Global Fund for Children,USA,Washington DC,https://globalfundforchildren.org/,,https://www.facebook.com/GlobalFundforChildren/,,"FB 125,784 likes",8,foundation,"1,000+ local grassroots partners; 11M+ children reached since 1994",no,"Intermediary funder for grassroots education/child-rights orgs worldwide - a potential multiplier INTO its whole partner network",no
Barefoot College International,India (Tilonia HQ),Tilonia / Ajmer (Rajasthan),https://barefootcollege.org/,,https://www.facebook.com/barefootcollege/,https://www.instagram.com/barefootcollegetilonia/,"Int'l FB 123,675 likes; Tilonia FB 1,545 likes",8,network,"250+ night schools across 10 Indian states, 100,000+ out-of-school children",no,"50-year grassroots org; night-school network for the most marginalised rural children; note Barefoot College Int'l and Barefoot College Tilonia are legally separate per their own disclaimer",no
Room to Read,USA,San Francisco CA,https://www.roomtoread.org/,,https://www.facebook.com/RoomtoRead/,,"FB 109,566 likes",8,network,"50M+ children reached across 28 countries",no,"Global literacy + girls'-education org; India chapter also has its own FB page",no
Federación Internacional de Fe y Alegría,Colombia,Bogotá,https://www.feyalegria.org/,,https://www.facebook.com/FeyAlegriaFI/,https://www.instagram.com/feyalegriave/,"Venezuela chapter FB 17K; international federation FB page separate",6,network,"22 countries across Latin America + Chad; 81,000 students in Peru alone; hundreds of thousands system-wide",no,"MASSIVE Jesuit-run network of schools for the poor across Latin America (est. 1955) - church/state covenant schools; single most impactful multiplier by reach found in this sweep even though FB numbers are modest per-country",no
BRAC,Bangladesh,Dhaka,https://www.brac.net/,,,,"not captured this sweep - large global NGO, presumed 6-figure+",7,network,"peak 64,000 schools / 1.8M students; 40M+ learners served since 1980s",no,"World's largest NGO; non-formal primary education model for children missed by the state system - a major reference/credibility multiplier",no
