School,Email,Region,City,Phone,Website,Source,Notes
Appledore Montessori,appledoremontessori@gmail.com,North of England,,07517 914276,https://www.facebook.com/appledoremontessori,Montessori Society AMI UK member directory,Bilingual Spanish/English setting; Facebook only
Arborescence Montessori,office@arborescencemontessori.org.uk,Hertfordshire,,0208 327 0209,http://www.arborescencemontessori.org.uk/,Montessori Society AMI UK member directory,
Barnes Montessori Nursery,info@barnesmontessori.co.uk,London West,London (Barnes),020 8748 2081,https://barnesmontessori.co.uk/,Montessori Society AMI UK member directory,
Bethnal Green Montessori School,admin@bethnalgreenmontessorischool.co.uk,London East,London (Bethnal Green),0207 739 4343,https://www.bethnalgreenmontessorischool.co.uk/,Montessori Society AMI UK member directory,
Cambridge Montessori,admissions@montessoricambridge.co.uk,Cambridge,Cambridge,01223 352472,https://www.montessoricambridge.co.uk/,Montessori Society AMI UK member directory,
Cardiff Montessori School,admissions@cms.cardiff.sch.uk,South West (directory) / Wales,Cardiff,02920567311,https://www.cms.cardiff.sch.uk,Montessori Society AMI UK member directory,
Casa Dei Bambini Montessori School,dipti@casamontessori.co.uk,London North,London,0207 794 3919,https://www.casamontessori.co.uk,Montessori Society AMI UK member directory,
Casa Montessori,hello@casamontessorinursery.com,Scotland,Edinburgh,0131 466 4413,https://www.casamontessorinursery.com/,Montessori Society AMI UK member directory,
Chapel Grange Montessori Nursery School,wilmslow@chapelgrange.co.uk,North of England,Wilmslow,01625 532083,https://www.chapelgrange.co.uk/,Montessori Society AMI UK member directory,
Clapham Montessori,ros@montessoriclapham.co.uk,London South,London (Clapham),07931 556595,http://www.montessoriclapham.co.uk,Montessori Society AMI UK member directory,
Clapham Park Montessori & Infant Community,info@montessoriclapham.co.uk,London South,London (Clapham),07757 317179,https://montessoriclapham.co.uk,Montessori Society AMI UK member directory,Same group as The Montessori Infant Community listing
Clevedon Montessori School,monty.clevedon.sch@gmail.com,South West,Clevedon,01275 877743,http://www.clevedonmontessorischool.co.uk,Montessori Society AMI UK member directory,
Cobham Montessori School,office@cobhammontessori.co.uk,Surrey,Cobham,01932 863397,https://www.cobhammontessori.co.uk/,Montessori Society AMI UK member directory,
Eastbourne Montessori School,eastbournemontessori@gmail.com,South and South East,Eastbourne,07946 356271 &amp; 01323 430981,https://eastbournemontessorischool.co.uk/,Montessori Society AMI UK member directory,
Grace Montessori School,admin@gracemontessori.co.uk,London East,London,07512 410002,https://gracemontessori.co.uk/,Montessori Society AMI UK member directory,
Grantham Farm Montessori School & The Children's House,info@montessorigranthamfarm.co.uk,South and South East,,0118 981 5821,https://montessorigranthamfarm.co.uk/,Montessori Society AMI UK member directory,
Happy Days Montessori Children's House,magsdillane@aol.com,London North,London,0208 903 6221,https://www.happydaysmontessori.co.uk/,Montessori Society AMI UK member directory,
Leavesden Montessori House,contact@leavesdenmontessori.org.uk,Hertfordshire,Leavesden,01923801331,https://www.leavesdenmontessori.org.uk,Montessori Society AMI UK member directory,
Little Acorns Montessori School,staff@littleacorns-montessori.org,Hertfordshire,,01923 230 705,http://www.littleacorns-montessori.org/,Montessori Society AMI UK member directory,
Living Spring Montessori,info@livingspringmontessori.com,London North,London,020 8830 7331,https://www.livingspringmontessori.com,Montessori Society AMI UK member directory,
"Maria Montessori Children's House & School, Lyndhurst Gardens, Hampstead",schools@mariamontessori.org,London North,London (Hampstead),020 7435 3646,https://www.mariamontessori.org/schools/hampstead/,Montessori Society AMI UK member directory,ALREADY_CONTACTED (prior campaign - Gmail-check before drafting)
"Maria Montessori Children's House, Bayswater",schools@mariamontessori.org,London West,London (Bayswater),0207 435 3646,https://www.mariamontessori.org/schools/bayswater/need-know-bayswater/,Montessori Society AMI UK member directory,ALREADY_CONTACTED (prior campaign - Gmail-check before drafting)
"Maria Montessori Children's House, Notting Hill",schools@mariamontessori.org,London West,London (Notting Hill),020 7221 4141,https://www.mariamontessori.org/schools/notting-hill/need-know-notting-hill/,Montessori Society AMI UK member directory,ALREADY_CONTACTED (prior campaign - Gmail-check before drafting)
Merrydays and Henley Montessori Schools,helen.everley@henleymontessori.co.uk,West Midlands,Henley-in-Arden,01564 795722,https://www.henleymontessori.co.uk,Montessori Society AMI UK member + STAR accredited (Montessori Global Education),Also STAR accredited (exp 31/01/2026)
Montessori Community School,admin@montessoricommunityschool.co.uk,London South,London,020 7736 8922,https://www.montessoricommunityschool.co.uk/,Montessori Society AMI UK member directory,
Montessori Cottage Nurseries,pamela@montessoricottagenurseries.co.uk,Cambridge,,01223 481199,,Montessori Society AMI UK member directory,No website listed in directory
Montessori Education for Autism (MEfa),NOT_FOUND,London South,London,0208 305 2202 &amp; 07710 433994,https://www.montessorieducationforautism.com,Montessori Society AMI UK member directory,No email on directory or school site (contact form only); inclusive SEN Montessori school
Montessori Flexi-Fridays,emmahughes@hotmail.co.uk,Scotland,,,,Montessori Society AMI UK member directory,Home-ed flexi setting; no website listed
Monti&me,fiona@montiandme.co.uk,Oxford,Oxford,07506 741248,https://montiandme.co.uk/,Montessori Society AMI UK member directory,
Newpark Childcare Centres,islington@newparkchildcare.co.uk,London North,London,,https://www.newparkchildcare.co.uk,Montessori Society AMI UK member directory,Email from school's own contact page; group of 5 London sites (barbican/chiswick/clerkenwell/highbury/islington@newparkchildcare.co.uk)
Norfolk Montessori,samantha@attlebridgemontessori.co.uk,Norfolk,Attlebridge,01603 865834,http://attlebridgemontessori.co.uk/,Montessori Society AMI UK member directory,
Pangbourne House Montessori School,info@pangbournehouse.com,London West,London,020 8964 9555,https://pangbournehouse.com,Montessori Society AMI UK member directory,
Raising Eagles Montessori Nursery,info@raisingeagles.co.uk,Essex,,07507 876416,https://www.raisingeagles.co.uk,Montessori Society AMI UK member directory,
Red Door Montessori Childcare and Homeschool,rdmchildminding@gmail.com,North of England,,07713 576569,https://www.reddoormontessorichildcare.co.uk/,Montessori Society AMI UK member directory,Childminding/homeschool setting
SensorStory Baby & Toddler Classes,hello@sensorstory.com,London West,London,,https://www.sensorstory.com,Montessori Society AMI UK member directory,"Baby/toddler classes provider (Society member, not a full school)"
Small World Montessori School,enquiries@smallworldmontessori.co.uk,Oxford,,01865 326660,http://www.smallworldmontessori.co.uk,Montessori Society AMI UK member directory,
Smiths Children Montessori,admissions@smithschildren.co.uk,Cambridge,Cambridge,01223 301047,https://www.smithschildren.co.uk,Montessori Society AMI UK member directory,
